Cre01.g000050	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)	
Cre15.g638500	Cytochrome c1 of ubiquinol:cytochrome c oxidoreductase cytochrome c1 (mitochondrial complex III); mitochondrial pre-apocytochrome c1;[GI:12005507]; gb:AAG44483; PMID: 12589438; = CYT1 from yeast	
Cre15.g638550	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Previously annotated as CLR3 and CLR20, though the mappi	
Cre15.g638650	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Previously annotated as CLR3 and CLR20, though the mappi	
Cre15.g638700	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Previously annotated as CLR3 and CLR20, though the mappi	
Cre15.g638750	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Previously annotated as CLR3 and CLR20, though the mappi	
Cre15.g638950	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Previously annotated as CLR11 but mapping is ambiguous g	
Cre15.g639000	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Previously annotated as CLR11 but mapping is ambiguous g	
Cre15.g639300	RAP-domain containing protein.  The RNA-binding RAP domain consists of multiple blocks of charged and aromatics residues and is predicted to be composed of alpha helical and beta strand structures.  Previously annotated as CLR12	
Cre15.g641800	Expressed protein. Similar to the RabE/Rab8 class of small GTPases; homologue of YptV2 [gi|549809|sp|P36861|YPTV2_VOLCA].  Previously annotated as RABE1	
Cre15.g643550	Pyridoxin (vitamin B6) biosynthesis protein	
Cre15.g643600	ABC-type system involved in Fe-S cluster assembly, likely localized to plastid.  Previously annotated as SUFB	
Cre15.g643700	Member of a family of proteins [PMID: 16720695, 16622701] related to Volvox carteri RegA, which is a putative transcription repressor [PMID: 9895312] containing a SAND domain (IPR000770 SAND; PF01342)	
Cre16.g647500	Related to animal thioredoxin, nucleoredoxin	
Cre16.g647500	Related to animal thioredoxin, nucleoredoxin	
Cre16.g648200	Cytochrome P450, CYP3 superfamily.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in a	
Cre16.g648200	Cytochrome P450, CYP3 superfamily.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in a	
Cre16.g648200	Cytochrome P450, CYP3 superfamily.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in a	
Cre16.g648500	Replication-linked Histone H3	
Cre16.g648550	Replication-linked Histone H4	
Cre16.g649050	Similar to guanylate cyclase soluble, beta-2 chain(GCS-beta-2) [Bos taurus]	
Cre16.g649050	Similar to guanylate cyclase soluble, beta-2 chain(GCS-beta-2) [Bos taurus]	
Cre16.g649400	Putative rRNA (guanine-N2-)-methyltransferase.  Plant-lineage-and-diatoms conserved expressed protein, RNA methyl transferase related;organelle-targeted; Arabidopsis homolog has RNA binding activity.  Previously annotated as CPLD16	
Cre16.g649600	Puf protein: contains pumilio-family RNA binding domains (PUF). Puf protein family thought to repress gene expression by affecting mRNA translation or stability.	
Cre16.g649800	Cyclin-related pentatrichopeptide repeat protein.  Previously annotated as PPR3	
Cre16.g649900	Histone H3	
Cre16.g649950	Replication-linked Histone H4	
Cre16.g650100	Chloroplast targeted; ortholog in Volvox is germline-specific and a putative target of RegA repression	
Cre16.g650200	Mitochondrial substrate carrier protein, possible folate carrier.  C-terminal, similar to peroxisomal and mitochondrial carriers.  Previously annotated as MITC3	
Cre16.g650250	Replication-linked Histone H4	
Cre16.g650300	Replication-linked Histone H3	
Cre16.g650450	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre16.g650550	Flagellar Associated Protein similar to nucleoside diphosphate kinase, found in the flagellar proteome [PMID: 15998802]	
Cre16.g650550	Flagellar Associated Protein similar to nucleoside diphosphate kinase, found in the flagellar proteome [PMID: 15998802]	
Cre16.g650600	Mastigoneme-like protein; 240 kDa flagellar protein in Chlamydomonas; Genbank entry AF508983. Mastigonemes are protein projections from the flagellar membrane. Found in the flagellar proteome [PMID: 15998802]	
Cre16.g650650	Probable alanine-glyoxylate aminotransferase, most similar to the Mammalian AGT2-like enzyme; plant and mammalian homologues are usually located in the peroxisome, but the Chlamydomonas AGT3 protein misses a C-terminal PTS1 peroxisomal targeting sequence;	
Cre16.g650750	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre16.g650800	Mitochondrial import inner membrane translocase subunit TIM13. Mitochondrial intermembrane chaperone that participates in the import and insertion of some transmembrane proteins into the mitochondrial inner membrane.	
Cre16.g651000	Homologous to eukaryotic RPA 70 kDa subunit; RP-A; RF-A; Replication factor-A protein 1; Single-stranded DNA-binding protein; Chlamydomonas has at least two homologues of RPA70.  Previously annotated as RPA70B	
Cre16.g651050	Cytochrome c6, chloroplast precursor (Cyt c553) (Cyt c552) (PETJ) [PMID: 3036842; PMID: 1714451]	
Cre16.g651550	Some similarity to mitochondrial transcription termination factor mTERF; probably mitochondrial (TargetP score 0.813)	
Cre16.g651900	Carotenoid isomerase (carotene isomerase), putative chloroplast precursor; (crtH) (CIS); similarly named as Arabidopsis enzyme.  Previously annotated CRTISO	
Cre16.g652150	Fructose-2,6-bisphosphate 2-phosphatase/6-phosphofructo-2-kinase	
Cre16.g652200	Belongs to the large VMP-family of metalloproteinases (identified in Volvox); the binding site of the catalytic metal ion in VMPs is QExxHxxGxxH not HExxHxxGxxH, therefore VMPs prefer copper for activity rather than zinc; extracellular matrix glycoprotein	
Cre16.g652300	Protein with putative tubulin tyrosine ligase activity and transmembrane domains.  Previously annotated as CMA2	
Cre16.g652350	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]; FAP243 is likely a part of FAP183.	
Cre16.g652400	Similar to Flagellar Associated Protein FAP183 that is found in the flagellar proteome [PMID: 15998802]; note that FAP243 is likely a part of FAP183.  Thie gene model overlaps with FAP183 from v3	
Cre16.g652550	Chloroplast ribosomal protein L24, imported to chloroplast; Chloroplast large ribosomal subunit protein L24	
Cre16.g652850	Glycosyltransferase, dolichol-phosphate glucosyltransferase	
Cre16.g654150	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG20 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre16.g654300	RSP23, a spoke specific nucleotide diphosphate kinase [PMID: 16507594; PMID: 15194815; GI:42412387]	
Cre16.g654350	Similar to splicing factor with U1 zinc finger domain.  Contains KIN17 DNA/RNA-binding domain	
Cre16.g654500	Eukaryotic translation initiation factor 3, subunit F.  Also known as eIF3 subunit 5, eIF3-epsilon, eIF3-p32, and eIF3f.  Most similar to A. thaliani eIF-3F in SwissProt	
Cre16.g654950	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912)	
Cre16.g655200	Putative phosphate transporter homolog type B6, splice variant b, similar to yeast Pho89 and Neurospora PHO4 probable Na+/Pi symporters. The 5' end of this splice variant is supported by EST evidence.	
Cre16.g655200	Putative phosphate transporter homolog type B6, splice variant b, similar to yeast Pho89 and Neurospora PHO4 probable Na+/Pi symporters. The 5' end of this splice variant is supported by EST evidence.	
Cre16.g655950	TRP-like ion channel protein, homology to TRPL Channel.	
Cre16.g655950	TRP-like ion channel protein, homology to TRPL Channel.	
Cre16.g655950	TRP-like ion channel protein, homology to TRPL Channel.	
Cre16.g655950	TRP-like ion channel protein, homology to TRPL Channel.	
Cre16.g656250	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (snRNP70) (U1-70K) PMID: 8776903	
Cre16.g656300	Putative dihydropicolinate (DAP) reductase (EC 1.3.1.26); based on homology to Arabidopsis dihydropicolinate reductase (GenBank NP_974464); expected to be plastidic based on homology but no organelle targeting predicted by Target-P; may be missing an N-te	
Cre16.g656400	UDP-sulfoquinovose synthase, an NAD dependent epimerase/dehydratase (see NED series).  PMID:15029954	
Cre16.g656500	Potential phospholipid-transporting P-type ATPase, flippase	
Cre16.g656500	Potential phospholipid-transporting P-type ATPase, flippase	
Cre16.g657250	The substrate of this oxidase is unsure, as the similarity is to both glyoxal oxidases and galactose oxidases, found in fungi, bacteria, animals and plants (both use the same Tyr radical / metal mechanism); the plant homologues are secreted, but the fate	
Cre16.g657300	Cycloeucalenol cycloisomerase (Cycloeucalenol--obtusifoliol isomerase) (Cyclopropyl sterol isomerase) (CCI)	
Cre16.g657650	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre16.g657750	Related to carotenoid 9,10-9',10' cleavage dioxygenase which in land plants participates in abscisic acid biosynthesis; could play a similar role (PMID: 16327238)	
Cre16.g657800	Related to carotenoid 9,10-9',10' cleavage dioxygenase which in land plants participates in abscisic acid biosynthesis; could play a similar role (PMID: 16327238)	
Cre16.g657850	63 kDa DnaJ-like protein, interacts with BIP (Hsp70-Homolog in ER) in preprotein import; closest homolog in higher plants is rice Q7XVN7	
Cre16.g657950	Identified by comparative genomics as being present only in organisms having cilia, including non-motile cilia; may have role in sensing, structure and/or assembly (SSA)	
Cre16.g658400	Fe2S2 containing redox protein, predicted chloroplast localization	
Cre16.g658900	Transient potential receptor channel;putative cation (not K+) channel	
Cre16.g659200	Cytochrome P450, CYP4 superfamily, CYP4A family.  Previously annotated as CYP742A1	
Cre16.g659250	Cytochrome b5 protein with possible nitrate reductase activity.  Previously annotated as CYB5-5	
Cre16.g659300	Cytochrome b5 protein with possible nitrate reductase activity.  Previously annotated as CYB5-2	
Cre16.g659350	Cytochrome b5 protein with possible nitrate reductase activity.  Previously annotated as CYB5-1	
Cre16.g659850	Conserved protein related to shikimate kinase; def ATP binding / shikimate kinase - Arabidopsis gi|18403860|ref|NP_565805.1|	
Cre16.g659950	Chloroplast Ribosomal Protein S5, imported to chloroplast; Chloroplast Small Ribosomal Subunit Protein S5	
Cre16.g660800	Similar to mitochondrial import inner membrane translocase subunit TIM44	
Cre16.g661050	Cytosolic 80S ribosomal protein L34; Cytosolic 60S large ribosomal subunit protein L34.  Belongs to Ribosomal_L34e superfamily	
Cre16.g661100	Serine/threonine protein kinase MAK (male germ cell-associated kinase, Mitogen-Activated Protein Kinase Homolog 7); downstream kinase in the canonical MAP kinase pathway; found in the flagellar proteome [PMID: 15998802]	
Cre16.g661150	Conserved expressed protein	
Cre16.g661350	Ribulose-1,5 bisphosphate carboxylase oxygenase large subunit N-methyltransferase, putative [EC:2.1.1.127]	
Cre16.g661450	Histone H3 variant.  ChromoDB HTR3404	
Cre16.g662150	CPLD51, involved in covalent heme binding to cyt b6; conserved in plant lineage and diatoms (organisms performing oxygenic photosynthesis). Localized to chloroplast. PMID: 17535914	
Cre16.g662300	U6 snRNA-associated Sm-like small nuclear riboprotein LSm3.  Previously annotated as SMP8	
Cre16.g662550	Possible small ubiquitin-like modifier in C. reinhardtii, containing 148 amino acids. Different from other SUMOs, it contains five double-glycine motif at the C-terminus.   Previously annotated as STM2. Appears in Wang et al. 2008 [PMID: 18493050] as CrSU	
Cre16.g662800	Splicing factor, component of the U4/U6-U5 snRNP complex. Homologue of S. cerevisiae Prp4 protein	
Cre16.g662950	Protein of unknown function with ankyrin repeats	
Cre16.g663200	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre16.g663400	Low-CO2 inducible gene revealed by cDNA analyses. At least four other paralogous genes are conserved in the Chlamydomonas genome. Predicted amino acid sequence is homologous to Arabidopsis hypothetical protein T20K12.220. SOSUI prediction: 1 transmembrane	
Cre16.g663400	Low-CO2 inducible gene revealed by cDNA analyses. At least four other paralogous genes are conserved in the Chlamydomonas genome. Predicted amino acid sequence is homologous to Arabidopsis hypothetical protein T20K12.220. SOSUI prediction: 1 transmembrane	
Cre16.g663450	Low-CO2 inducible gene revealed by cDNA analyses. At least four other paralogous genes are conserved in the Chlamydomonas genome. Predicted amino acid sequence is homologous to Arabidopsis hypothetical protein T20K12.220. SOSUI prediction: 1 transmembrane	
Cre16.g663500	26S proteasome regulatory complex, base subcomplex, non-ATPase regulatory RPN10 (subunit 4) (subunit S5A) (PSD4) (Multiubiquitin chain binding protein).	
Cre16.g663650	Expressed Protein. Conserved protein similar to TRS33, a component of the TRAPP complex, involved in ER to Golgi vesicle transport.	
Cre16.g663800	Triose phosphate transporter.  Conserved expressed protein	
Cre16.g663850	Putative soluble starch synthase IV	
Cre16.g663900	Porphobilinogen deaminase, chloroplast precursor; Hydroxymethylbilane synthase; Pre-uroporphyrinogen synthase; PBG; HMBS; HEM3; HEMC; Predicted chloroplast transit peptide 1-34 [PMID: 1986793; PMID: 8192681; PMID: 15849308]	
Cre16.g664150	Homolog of calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase IB from Rattus norvegicus. Long protein with C-terminal phosphodiesterase domain.	
Cre16.g664250	O-acetylserine (thiol)-lyase, O-acetylserine sulfhydrylase.  Previously annotated as OASTL2	
Cre16.g664500	Expressed Protein. ARF-like GTPase, most similar to mammalian ARL6, no homologues found in angiosperms;  homolog of Bardet-Biedl syndrome 3 in humans.  May play a role in recruiting and assembling the BBSome onto membranes in flagella (see PMID: 20207729)	
Cre16.g664500	Expressed Protein. ARF-like GTPase, most similar to mammalian ARL6, no homologues found in angiosperms;  homolog of Bardet-Biedl syndrome 3 in humans.  May play a role in recruiting and assembling the BBSome onto membranes in flagella (see PMID: 20207729)	
Cre16.g664550	Serine hydroxymethyltransferase (gi:17066746, high light-inducible; Low-CO2 inducible gene revealed by cDNA array analyses; regulated by CCM1 [PMID: 15235119].  Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al.	
Cre16.g664600	NADH:ubiquinone oxidoreductase (Complex I) subunit, homolog to bovine B16.6. gi|34334020|gb|AAQ64637.1| [PMID: 15710684; PMID: 15450959]	
Cre16.g664700	Mitochondrial protein Surfeit 1/SURF1/SHY1, required for expression of cytochrome oxidase. Probable mitochondrial inner membrane protein required for normal respiration, possible chaperone involved in assembly of cytochrome c oxidase; similar to SURF1 fro	
Cre16.g665050	Voltage-dependent 4-domain calcium channel, alpha subunit	
Cre16.g665100	Voltage-dependent 4-domain calcium channel, alpha subunit	
Cre16.g665250	Homolog of Arabidopsis APE1 (Acclimation of Photosynthesis to Environment) that is required for acclimation of photosynthesis to various light intensity; = TEF6, found in thylakoid proteome by Hippler and co-workers	
Cre16.g665400	Small nuclear ribonucleoprotein SmD1.  Previously annotated as SMP9	
Cre16.g665450	Ryanodine receptor calcium ion channel RIR-CaC; Inositol 1,4,5-trisphosphate receptor type 1 (Type 1 InsP3 receptor) (IP3 receptor) (InsP3R1) (IP3R); found in flagellar proteome as FAP48 (PMID: 15998802)	
Cre16.g665750	RNA Pseudouridine synthase.  Required for trans-splicing of chloroplast psaA mRNA 2nd intron. Similar regions to pseudouridine synthase. Published as MAA2 [PMID: 10562560]	
Cre16.g665800	ADP-glucose alpha-1,4 glucane alpha-4-glucanotransferase; catalyses the transfer of the glucosyl moiety of ADP-glc to the non-reducing end of a pre-existing alpha 1,4 linked chain; (AAC17971)	
Cre16.g665950	Homologous to MCM8 DNA replication protein	
Cre16.g666050	Saccharopine dehydrogenase.  Plant-lineage-and-diatoms conserved expressed protein [Amino acid transport and metabolism].  Previously annotated as CPLD49	
Cre16.g666150	Flagellar outer dynein arm-docking complex subunit 2 (ODA-DC2).  Previously annotated as ODA1	
Cre16.g666301	Cytosolic 80S ribosomal protein S30; Cytosolic 40S small ribosomal subunit protein S30	
Cre16.g666500	Tetratricopeptide repeat domain protein, similar to Bardet Biedl Syndrome 8	
Cre16.g666550	Conserved expressed SOUL heme binding protein; N-terminal (possibly lacking in alternatively spliced form) similar to unknown cyanobacterial protein; C-terminus similar to SOUL protein, putative heme-binding domain	
Cre16.g667100	Protein of unknown function, contains LysM-domain which is found in a variety of enzymes involved in bacterial cell wall degradation; the domain may have a general peptidoglycan binding function	
Cre16.g667350	Voltage-dependent 4-domain calcium channel, alpha subunit; may exhibit altered ion selectivity as conserved P-loop loci differ from mammalian Ca2+ channels (PMID: 8968582)	
Cre16.g667450	Tubby-like protein 2. Transcript upregulated during flagellar regeneration [PMID: 15738400].	
Cre16.g667750	DNA-directed RNA polymerase II, 19 kDa polypeptide.  Previously annotated as RPB7A	
Cre16.g668800	Unknown protein; a pseudo-gene copy resides in the A region of the mt+ locus [PMID: 11805055]. MTA4 was identified in the genome sequence after publication; independent cDNA sequence, see AY596304.	
Cre16.g668850	Hydroxyproline-rich glycoprotein, putative component of the zygote ECM; contains PPSPX repeats, described in PMID: 11258910. This gene is called A2 in some publications. The mRNA is gamete-specific; there is no protein localization data. A pseudogene copy	
Cre16.g668900	Unknown protein; a pseudo-gene copy resides in the A region of the mt+ locus [PMID: 11805055]. Independently sequenced, see AF309495	
Cre16.g669550	Possibly localized to chloroplast; (CBL), Beta-cystathionase, Cysteine lyase.  Previously annotated as METC.  Catalyzes the third step of methionine synthesis from homoserine	
Cre16.g670300	U1 snRNP protein involved in splicing, contains multiple tetratricopeptide repeats; homologue of S. cerevisiae Prp39	
Cre16.g670300	U1 snRNP protein involved in splicing, contains multiple tetratricopeptide repeats; homologue of S. cerevisiae Prp39	
Cre16.g670950	Cytochrome c, chloroplast precursor; evolutionarily related to cytochrome c6, but is distinct in having a disulfide group within an extra loop of the protein (PMID: 16815443). It has been tentatively named cytochrome c6A. This protein has been called Atc6	
Cre16.g670973	Glutathione S-transferase (GST) (sigma class) with 59-61% identity with GSTS1 and GSTS2; similar to Glutathione-requiring prostaglandin D synthase (Glutathione-dependent PGD synthetase) [gi|6225842].  Possible prostaglandin-D synthase activity.  Previousl	Glutathione S-transferase (GST) (sigma class) with 59-61% identity with GSTS1 and GSTS2; similar to Glutathione-requiring prostaglandin D synthase (Glutathione-dependent PGD synthetase) [gi|6225842].  Possible prostaglandin-D synthase activity.  Previousl
Cre16.g671000	Putative type 2 NADH dehydrogenase; FAD-dependent pyridine nucleotide-disulphide oxidoreductase [PMID: 15710684]	
Cre16.g671329	DnaJ-like protein; contains N-terminal J-domain (pfam00226) but except for J-domain does not show similarity with any other protein in protein database; contains N-terminal extension, but TargetP does not give any clear prediction	DnaJ-like protein; contains N-terminal J-domain (pfam00226) but except for J-domain does not show similarity with any other protein in protein database; contains N-terminal extension, but TargetP does not give any clear prediction
Cre16.g671350	Periplasmic arylsulfatase (ars1) (aryl-sulfate sulphohydrolase) [PMID: 2476654]; Genbank entry X16180. The nearly identical gene ARS1 is nearby in the genomic sequence, in inverted orientation	
Cre16.g671400	Periplasmic arylsulfatase 1 [PMID: 3339089], The nearly identical gene ARS2 is nearby in the genomic sequence, in inverted orientation	
Cre16.g671750	Prefoldin beta-like subunit of molecular chaperone (PMID: 11599560); has two coiled-coil domains separated by a beta-sheet; stabilizes polypeptide chains prior to folding within CCT chaperonin, in particular tubulin	
Cre16.g671900	Two-domain protein: N-terminal FHA (forkhead) domain binding phosphoproteins and involved in nuclear signaling; Peptidyl-prolyl cis-trans isomerase(parvulin-type) domain, specific for phosphorylated substrates most similar to AtPIN1 (At2g18040, [PMID: 150	
Cre16.g672041	tRNA (guanine-N1)-methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the N1 position of guanosine 37 (G37) in some tRNAs. This modification has a role in preventing frameshifting.  Previously annotated as TRM5	tRNA (guanine-N1)-methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the N1 position of guanosine 37 (G37) in some tRNAs. This modification has a role in preventing frameshifting.  Previously annotated as TRM5
Cre16.g672385	Histidinol-phosphate aminotransferase (EC 2.6.1.9); predicted plastid targeting by Target-P	Histidinol-phosphate aminotransferase (EC 2.6.1.9); predicted plastid targeting by Target-P
Cre16.g672397	Protein phosphatase 2C gamma homolog; serine/threonine protein phosphatase.  Previously annotatated as PP2C2	Protein phosphatase 2C gamma homolog; serine/threonine protein phosphatase.  Previously annotatated as PP2C2
Cre16.g672650	Mitochondrial substrate carrier protein, possible 2-oxoglutarate/malate carrier.  Highly related to plant mitochondrial carriers.  Previously annotated as MITC14	
Cre16.g672800	GDP-D-mannose pyrophosphorylase (D-mannose-1-phosphate guanylyltransferase); a nucleotidyl transferase	
Cre16.g673109	Acyl-carrier protein, complex I, mitochondial respiratory chain.  Acyl carrier protein (ACP), acetyl-CoA carboxylase component; involved in glycerolipid metabolism.  NADH:ubiquinone oxidoreductase subunit protein (=NDUFAB1 subunit); [PMID: 15450959; PMID:	Acyl-carrier protein, complex I, mitochondial respiratory chain.  Acyl carrier protein (ACP), acetyl-CoA carboxylase component; involved in glycerolipid metabolism.  NADH:ubiquinone oxidoreductase subunit protein (=NDUFAB1 subunit); [PMID: 15450959; PMID:
Cre16.g673617	Mitochondrial peptide chain release factor 1, similar to eubacterial class 1 release factors (prfA, RF1); (reliability class 3 by TargetP).  Previously annotated as PRFA1	Mitochondrial peptide chain release factor 1, similar to eubacterial class 1 release factors (prfA, RF1); (reliability class 3 by TargetP).  Previously annotated as PRFA1
Cre16.g673650	Minor chlorophyll a-b binding protein of photosystem II.  Included among genes whose expression levels changed significantly during hydrogen production in sulfur-deficient cells; Nguyen et al. 2008 [PMID: 18708561].  Protein product also  known as CP26	
Cre16.g673729	Cochaperonin for CPN60 with MW of the mature protein of 11 kD; heptamers of Cpn10-like cochaperonins bind to one of the two Cpn60 heptameric rings and trigger ATP hydrolysis; CPN11 is more closely related to chloroplast than to mitochondrial CPN10, thus m	Cochaperonin for CPN60 with MW of the mature protein of 11 kD; heptamers of Cpn10-like cochaperonins bind to one of the two Cpn60 heptameric rings and trigger ATP hydrolysis; CPN11 is more closely related to chloroplast than to mitochondrial CPN10, thus m
Cre16.g673953	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); localization unsure [PMID: 15701785]; this is the minor splicing variant FKB16-7b, with the sequence vdktgrppppslprllprhs added in loop between 5th and 6th beta-strand	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); localization unsure [PMID: 15701785]; this is the minor splicing variant FKB16-7b, with the sequence vdktgrppppslprllprhs added in loop between 5th and 6th beta-strand
Cre16.g674300	Conserved uncharacterized Flagellar Associated Protein with ankyrin repeats; found in the flagellar proteome [PMID: 15998802]	
Cre16.g674350	Putative mitochondrial ribosomal protein S13, imported to mitochondria	
Cre16.g674515	Flagellar inner dynein arm I1 intermediate chain IC140 [AF159260, PMID: 9843574].  Previously annotated as IDA7	Flagellar inner dynein arm I1 intermediate chain IC140 [AF159260, PMID: 9843574].  Previously annotated as IDA7
Cre16.g674627	Ortholog of the human Meckel Syndrome 1 gene	Ortholog of the human Meckel Syndrome 1 gene
Cre16.g674852	Minus-gamete-specific protein required for fusion with plus gametes. Related to the generative cell specific protein (GCS1) expressed in developing male gametes in higher plants (PMID: 16378100) (partial Chlamy mRNA - Genbank AB206813). The GCS1 gene in h	Minus-gamete-specific protein required for fusion with plus gametes. Related to the generative cell specific protein (GCS1) expressed in developing male gametes in higher plants (PMID: 16378100) (partial Chlamy mRNA - Genbank AB206813). The GCS1 gene in h
Cre16.g674890	AP2-domain transcription factor	
Cre16.g674890	AP2-domain transcription factor	AP2-domain transcription factor
Cre16.g675000	Uroporphyrinogen-III synthase.  Previously annotated as HEMD	
Cre16.g675300	Na+-dependent inorganic phosphate cotransporter.  Previously annotated as MFT9	
Cre16.g675500	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase); homologous to Cyanobacterial FKBPs and At5g45680 (FKBP13, thylakoid lumen); but could be mitochondrial as it lacks a RR TAT targeting motif [PMID: 15701785]	
Cre16.g675550	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase), orthologous to At5g45680; isoform a of gene FKB16-2, probably directed to thylakoid lumen (TP length 26, RR motif); other splicing isoforms possibly directed to stroma or mito	
Cre16.g675550	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase), orthologous to At5g45680; isoform a of gene FKB16-2, probably directed to thylakoid lumen (TP length 26, RR motif); other splicing isoforms possibly directed to stroma or mito	
Cre16.g675550	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase), orthologous to At5g45680; isoform a of gene FKB16-2, probably directed to thylakoid lumen (TP length 26, RR motif); other splicing isoforms possibly directed to stroma or mito	
Cre16.g675749	Small ubiquitin-like modifier in C. reinhardtii.  Previously annotated as SUMO97, which is now split between SUM1 and SUM2.  See Wang et al. 2008 [PMID: 18493050]	Small ubiquitin-like modifier in C. reinhardtii.  Previously annotated as SUMO97, which is now split between SUM1 and SUM2.  See Wang et al. 2008 [PMID: 18493050]
Cre16.g675861	Small ubiquitin-like modifier in C. reinhardtii.  Previously annotated as SUMO97, which is now split between SUM1 and SUM2.  See Wang et al. 2008 [PMID: 18493050]	
Cre16.g675861	Small ubiquitin-like modifier in C. reinhardtii.  Previously annotated as SUMO97, which is now split between SUM1 and SUM2.  See Wang et al. 2008 [PMID: 18493050]	Small ubiquitin-like modifier in C. reinhardtii.  Previously annotated as SUMO97, which is now split between SUM1 and SUM2.  See Wang et al. 2008 [PMID: 18493050]
Cre16.g675900	Arginine/ornithine decarboxylase, most similar to bacterial decarboxylases; could carry out decarboxylation of Arg, the first step of the agmatine pathway for polyamine biosynthesis	
Cre16.g676050	Actin related protein 3. Part of the Arp2/3 complex.  ChromoDB ARP3403	
Cre16.g676197	26S proteasome regulatory complex, base subcomplex, non-ATPase regulatory RPN1 (subunit 2) (PSD2) (PSMD2)	26S proteasome regulatory complex, base subcomplex, non-ATPase regulatory RPN1 (subunit 2) (PSD2) (PSMD2)
Cre16.g676314	Eukaryotic translation initiation factor 3, subunit H.  Also known as eIF3 subunit 3, eIF3-gamma,eIF3-p40, and eIF3h	Eukaryotic translation initiation factor 3, subunit H.  Also known as eIF3 subunit 3, eIF3-gamma,eIF3-p40, and eIF3h
Cre16.g676450	Conserved expressed protein	
Cre16.g676645	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre16.g676650	Expressed protein. Gamma1-Adaptin, clathrin adaptor complex subunit, putative member of AP-1 complex	
Cre16.g676757	Putative phosphate transporter, similar to yeast Pho89, Neurospora PHO4 probable Na+/Pi symporters; highest identity to PTB1 (60%) of the PTB family members.	Putative phosphate transporter, similar to yeast Pho89, Neurospora PHO4 probable Na+/Pi symporters; highest identity to PTB1 (60%) of the PTB family members.
Cre16.g676757	Putative phosphate transporter, similar to yeast Pho89, Neurospora PHO4 probable Na+/Pi symporters; highest identity to PTB1 (60%) of the PTB family members.	
Cre16.g677000	HSP70E is one of 9 genes encoding HSP70-like proteins in Chlamydomonas; it is more similar to HSP110-like proteins, as is HSP70G; HSP70E is inducible by MgProto and light; PMID: 16143837, 16143841	
