Gene ID	Contig	Strand	Start	End	GeneType	description	GO-labels	protein domains	KOGid
Bathy16g01870	bathy_chrom_16	+	367975	368809	mRNA	PREDICTED: similar to predicted protein	NA	IPR020683: Ankyrin repeat-containing domain	NA
Bathy16g01880	bathy_chrom_16	+	368940	372051	mRNA	aromatic amino acid permease	NA	IPR018227: Tryptophan/tyrosine permease	NA
Bathy16g01890	bathy_chrom_16	-	372129	372794	mRNA	predicted protein	NA	G3DSA:3.60.20.10: no description; IPR016050: Proteasome, beta-type subunit, conserved site; IPR001353: Proteasome, subunit alpha/beta; PTHR11599: FAMILY NOT NAMED; IPR023333: Proteasome B-type subunit; SSF56235: N-terminal nucleophile aminohydrolases (Ntn hydrolases)	NA
Bathy16g01900	bathy_chrom_16	+	373364	373984	mRNA	predicted protein	GO:0006397;GO:0005634;GO:0004721	IPR006811: RNA polymerase II subunit A	NA
Bathy16g01910	bathy_chrom_16	-	374077	376423	mRNA	predicted protein	NA	SSF55021: ACT-like	NA
Bathy16g01920	bathy_chrom_16	+	376943	378637	mRNA	predicted protein	GO:0016021	IPR009637: Transmembrane receptor, eukaryota	NA
Bathy16g01930	bathy_chrom_16	-	378697	380240	mRNA	predicted protein	NA	IPR001594: Zinc finger, DHHC-type, palmitoyltransferase; PTHR22883: FAMILY NOT NAMED; IPR013083: Zinc finger, RING/FYVE/PHD-type	NA
Bathy16g01940	bathy_chrom_16	+	380327	380884	mRNA	unknown protein	NA	IPR009548: Protein of unknown function DUF1168	NA
Bathy16g01950	bathy_chrom_16	-	380973	382529	mRNA	predicted protein	NA	NA	NA
Bathy16g01960	bathy_chrom_16	-	382690	383700	mRNA	predicted protein	NA	IPR005834: Haloacid dehalogenase-like hydrolase; PTHR18901: FAMILY NOT NAMED; IPR023214: HAD-like domain; IPR006402: HAD-superfamily hydrolase, subfamily IA, variant 3	NA
Bathy16g01970	bathy_chrom_16	+	384069	385321	mRNA	unknown	NA	IPR022796: Chlorophyll A-B binding protein; IPR001344: Chlorophyll A-B binding protein, plant; IPR023329: Chlorophyll a/b binding protein domain	NA
Bathy16g01980	bathy_chrom_16	+	385469	386599	mRNA	unknown protein	NA	NA	NA
Bathy16g01990	bathy_chrom_16	+	386839	388107	mRNA	predicted protein	GO:0008408;GO:0005622;GO:0006139;GO:0003676	G3DSA:3.30.420.10: no description; PTHR13620: FAMILY NOT NAMED; IPR012337: Ribonuclease H-like; IPR002562: 3'-5' exonuclease	NA
Bathy16g02000	bathy_chrom_16	-	388240	390213	mRNA	predicted protein	NA	IPR007603: Choline transporter-like	NA
Bathy16g02010	bathy_chrom_16	-	390449	391615	mRNA	predicted protein	NA	IPR004853: Domain of unknown function DUF250; PTHR11132: FAMILY NOT NAMED	NA
Bathy16g02020	bathy_chrom_16	+	392096	394240	mRNA	predicted protein	GO:0005524;GO:0004386;GO:0003676	G3DSA:3.40.50.300: no description; IPR014014: RNA helicase, DEAD-box type, Q motif; IPR011545: DNA/RNA helicase, DEAD/DEAH box type, N-terminal; IPR014001: DEAD-like helicase; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR001650: Helicase, C-terminal; PTHR24031: FAMILY NOT NAMED	NA
Bathy16g02030	bathy_chrom_16	+	394443	396203	mRNA	predicted protein	GO:0016020;GO:0008417;GO:0006486	IPR001503: Glycosyl transferase, family 10	NA
Bathy16g02040	bathy_chrom_16	-	396398	399568	mRNA	predicted protein	NA	IPR001763: Rhodanese-like	NA
Bathy16g02050	bathy_chrom_16	+	399669	399869	mRNA	unknown protein	NA	NA	NA
Bathy16g02060	bathy_chrom_16	+	400067	403147	mRNA	unknown protein	GO:0003676	IPR015943: WD40/YVTN repeat-like-containing domain; IPR004301: Nucleoplasmin	NA
Bathy16g02070	bathy_chrom_16	-	403294	403545	mRNA	predicted protein	NA	NA	NA
Bathy16g02080	bathy_chrom_16	-	403937	404470	mRNA	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein 	GO:0003676	IPR015880: Zinc finger, C2H2-like; PTHR24377: FAMILY NOT NAMED; IPR007087: Zinc finger, C2H2-type; IPR013087: Zinc finger, C2H2-type/integrase, DNA-binding; SSF57667: C2H2 and C2HC zinc fingers	NA
Bathy16g02090	bathy_chrom_16	+	404697	408428	mRNA	predicted protein	GO:0003676	SSF63748: Tudor/PWWP/MBT; IPR011989: Armadillo-like helical; IPR016024: Armadillo-type fold; IPR002999: Tudor domain	NA
Bathy16g02100	bathy_chrom_16	+	408576	410357	mRNA	predicted protein	GO:0003723;GO:0009451;GO:0009982;GO:0001522	IPR020103: Pseudouridine synthase, catalytic domain; IPR020094: Pseudouridine synthase I, TruA, N-terminal; IPR020095: Pseudouridine synthase I, TruA, C-terminal; IPR001406: Pseudouridine synthase I, TruA	NA
Bathy16g02110	bathy_chrom_16	-	410450	410779	mRNA	unknown protein	NA	NA	NA
Bathy16g02120	bathy_chrom_16	+	411086	413237	mRNA	predicted protein	GO:0005634;GO:0008270;GO:0003676	PTHR12786: FAMILY NOT NAMED; PF11931: DUF3449; IPR000690: Zinc finger, C2H2-type matrin	NA
Bathy16g02130	bathy_chrom_16	-	413321	414640	mRNA	unknown protein	GO:0006355;GO:0043565;GO:0008270;GO:0003700	IPR013088: Zinc finger, NHR/GATA-type; SSF57716: Glucocorticoid receptor-like (DNA-binding domain); PTHR10071: TRANSCRIPTION FACTOR GATA (GATA BINDING FACTOR); IPR000679: Zinc finger, GATA-type	NA
Bathy16g02140	bathy_chrom_16	+	415070	417760	mRNA	unknown protein	NA	IPR003111: Peptidase S16, lon N-terminal; IPR001841: Zinc finger, RING-type; IPR013083: Zinc finger, RING/FYVE/PHD-type; PTHR24420: FAMILY NOT NAMED; PF11789: zf-Nse	NA
Bathy16g02150	bathy_chrom_16	-	417944	418681	mRNA	unknown protein	NA	NA	NA
Bathy16g02160	bathy_chrom_16	-	419116	420489	mRNA	predicted protein	GO:0006486;GO:0030173;GO:0008373	PTHR13713: FAMILY NOT NAMED; IPR001675: Glycosyl transferase, family 29	NA
Bathy16g02170	bathy_chrom_16	+	420584	421837	mRNA	conserved hypothetical protein	NA	IPR013078: Histidine phosphatase superfamily, clade-1; SSF53254: Phosphoglycerate mutase-like; G3DSA:3.40.50.1240: no description	NA
Bathy16g02180	bathy_chrom_16	-	421947	423497	mRNA	predicted protein	NA	IPR021134: Bestrophin/UPF0187	NA
Bathy16g02190	bathy_chrom_16	-	423613	424590	mRNA	hydrolase, TatD family	GO:0016888	IPR012278: Deoxyribonuclease, TatD Mg-dependent; IPR015992: Deoxyribonuclease, TatD; IPR018228: Deoxyribonuclease, TatD-related, conserved site; IPR001130: Deoxyribonuclease, TatD-related; SSF51556: Metallo-dependent hydrolases; G3DSA:3.20.20.140: no description	NA
Bathy16g02200	bathy_chrom_16	-	424882	425637	mRNA	HAD-superfamily hydrolase, subfamily IA, variant 3	NA	IPR005833: Haloacid dehydrogenase/epoxide hydrolase; IPR005834: Haloacid dehalogenase-like hydrolase; PTHR18901: FAMILY NOT NAMED; IPR023214: HAD-like domain; IPR006402: HAD-superfamily hydrolase, subfamily IA, variant 3	NA
Bathy16g02210	bathy_chrom_16	+	425994	427211	mRNA	undecaprenyl diphosphate synthase	GO:0016765	IPR001441: Di-trans-poly-cis-decaprenylcistransferase-like	NA
Bathy16g02220	bathy_chrom_16	+	427320	428494	mRNA	predicted protein	NA	G3DSA:3.40.50.1820: no description	NA
Bathy16g02230	bathy_chrom_16	-	428590	429375	mRNA	predicted protein	NA	IPR021883: Protein of unknown function DUF3493; IPR006311: Twin-arginine translocation pathway, signal sequence	NA
Bathy16g02240	bathy_chrom_16	+	430339	432456	mRNA	predicted protein	GO:0009058	IPR011835: Glycogen/starch synthases, ADP-glucose type; IPR013534: Starch synthase, catalytic domain; SSF53756: UDP-Glycosyltransferase/glycogen phosphorylase; IPR001296: Glycosyl transferase, group 1; PTHR12526: FAMILY NOT NAMED	NA
Bathy16g02250	bathy_chrom_16	+	432643	436008	mRNA	predicted protein	GO:0006886	PTHR10997: IMPORTIN-7, 8, 11; IPR001494: Importin-beta, N-terminal; IPR011989: Armadillo-like helical; IPR013713: Exportin/Importin, Cse1-like	NA
Bathy16g02260	bathy_chrom_16	-	436148	439186	mRNA	unnamed protein product	NA	IPR007941: Protein of unknown function DUF726	NA
Bathy16g02270	bathy_chrom_16	+	439720	441708	mRNA	predicted protein	GO:0005488	IPR006652: Kelch repeat type 1; IPR000582: Acyl-CoA-binding protein, ACBP; IPR015915: Kelch-type beta propeller; PTHR23244: FAMILY NOT NAMED; IPR014352: FERM/acyl-CoA-binding protein, 3-helical bundle	NA
Bathy16g02280	bathy_chrom_16	+	442208	444685	mRNA	predicted protein	GO:0055085;GO:0016021;GO:0015299;GO:0006812	IPR006153: Cation/H+ exchanger	NA
Bathy16g02290	bathy_chrom_16	-	444785	446650	mRNA	proline aminopeptidase P II	GO:0009987	IPR007865: Peptidase M24B, X-Pro dipeptidase/aminopeptidase P N-terminal; IPR000994: Peptidase M24, structural domain; PTHR10804: PROTEASE FAMILY M24 (METHIONYL AMINOPEPTIDASE, AMINOPEPTIDASE P); G3DSA:3.40.350.10: no description	NA
Bathy16g02300	bathy_chrom_16	+	446797	447612	mRNA	predicted protein	GO:0005515	IPR011990: Tetratricopeptide-like helical; IPR013026: Tetratricopeptide repeat-containing; IPR019734: Tetratricopeptide repeat; PTHR23083: FAMILY NOT NAMED	NA
Bathy16g02310	bathy_chrom_16	-	447777	450443	mRNA	phototropin	NA	IPR001610: PAC motif; G3DSA:3.30.200.20: no description; IPR013767: PAS fold; IPR002290: Serine/threonine-protein kinase domain; IPR000014: PAS; IPR000700: PAS-associated, C-terminal; G3DSA:3.30.450.20: no description; IPR017442: Serine/threonine-protein kinase-like domain; IPR011009: Protein kinase-like domain; IPR008271: Serine/threonine-protein kinase, active site; IPR013655: PAS fold-3; IPR000719: Protein kinase, catalytic domain; G3DSA:1.10.510.10: no description; IPR020635: Tyrosine-protein kinase, catalytic domain; PTHR24354: FAMILY NOT NAMED	NA
Bathy16g02320	bathy_chrom_16	+	452002	453114	mRNA	predicted protein	NA	NA	NA
Bathy16g02330	bathy_chrom_16	+	453442	456678	mRNA	unknown protein	NA	PTHR22870: FAMILY NOT NAMED; IPR009091: Regulator of chromosome condensation/beta-lactamase-inhibitor protein II; IPR000408: Regulator of chromosome condensation, RCC1	NA
Bathy16g02340	bathy_chrom_16	+	456967	458469	mRNA	argininosuccinate synthase	GO:0005524;GO:0004055;GO:0006526	IPR014729: Rossmann-like alpha/beta/alpha sandwich fold; SSF69864: Argininosuccinate synthetase, C-terminal domain; SSF52402: Adenine nucleotide alpha hydrolases-like; G3DSA:3.90.1260.10: no description; IPR018223: Argininosuccinate synthase, conserved site; IPR001518: Argininosuccinate synthase	NA
Bathy16g02350	bathy_chrom_16	-	458618	459670	mRNA	predicted protein	NA	NA	NA
Bathy16g02360	bathy_chrom_16	+	459874	460494	mRNA	predicted protein	NA	NA	NA
Bathy16g02370	bathy_chrom_16	-	460719	461792	mRNA	predicted protein	GO:0045454	IPR005746: Thioredoxin; IPR012335: Thioredoxin fold; IPR013766: Thioredoxin domain	NA
Bathy16g02380	bathy_chrom_16	-	462217	463839	mRNA	predicted protein	NA	PTHR23109: FAMILY NOT NAMED; G3DSA:3.40.50.150: no description; IPR019410: Nicotinamide N-methyltransferase, putative	NA
Bathy16g02390	bathy_chrom_16	+	464116	464500	mRNA	predicted protein	GO:0020037	IPR001199: Cytochrome b5; PTHR19359: FAMILY NOT NAMED	NA
Bathy16g02400	bathy_chrom_16	-	464582	466846	mRNA	predicted protein	GO:0005097;GO:0005622;GO:0032313	G3DSA:1.10.8.270: no description; IPR000195: Rab-GAP/TBC domain; PTHR22957: FAMILY NOT NAMED	NA
Bathy16g02410	bathy_chrom_16	+	467809	469500	mRNA	predicted protein	NA	IPR001509: NAD-dependent epimerase/dehydratase; SSF51735: NAD(P)-binding Rossmann-fold domains; IPR016040: NAD(P)-binding domain; IPR013857: NADH:ubiquinone oxidoreductase intermediate-associated protein 30; PTHR10366: FAMILY NOT NAMED	NA
Bathy16g02420	bathy_chrom_16	-	469676	470701	mRNA	predicted protein	GO:0005515	IPR011990: Tetratricopeptide-like helical; PTHR12760: FAMILY NOT NAMED; IPR013026: Tetratricopeptide repeat-containing; IPR019734: Tetratricopeptide repeat	NA
Bathy16g02430	bathy_chrom_16	-	470960	472009	mRNA	predicted protein	NA	NA	NA
Bathy16g02440	bathy_chrom_16	+	472700	473095	mRNA	predicted protein	GO:0016020;GO:0009055;GO:0008137	IPR007763: NADH:ubiquinone oxidoreductase, 17.2kDa subunit	NA
Bathy16g02450	bathy_chrom_16	-	473242	474108	mRNA	predicted protein	NA	G3DSA:2.60.120.590: no description	NA
Bathy16g02460	bathy_chrom_16	+	474666	475889	mRNA	unknown protein	NA	NA	NA
Bathy16g02470	bathy_chrom_16	+	476061	479573	mRNA	predicted protein	NA	IPR000209: Peptidase S8/S53, subtilisin/kexin/sedolisin; IPR015500: Peptidase S8, subtilisin-related; IPR022398: Peptidase S8/S53, subtilisin, active site	NA
Bathy16g02480	bathy_chrom_16	+	479688	481172	mRNA	predicted protein	NA	NA	NA
Bathy16g02490	bathy_chrom_16	-	481304	481621	mRNA	unknown protein	NA	NA	NA
Bathy16g02500	bathy_chrom_16	+	481738	483702	mRNA	predicted protein	GO:0051537;GO:0055114;GO:0016491	IPR017941: Rieske [2Fe-2S] iron-sulphur domain; PTHR21266: FAMILY NOT NAMED	NA
Bathy16g02510	bathy_chrom_16	-	483776	484696	mRNA	predicted protein	GO:0008270;GO:0003676	IPR000571: Zinc finger, CCCH-type	NA
Bathy16g02520	bathy_chrom_16	+	484935	485303	mRNA	unknown protein	GO:0003677	IPR009072: Histone-fold	NA
Bathy16g02530	bathy_chrom_16	-	485382	487802	mRNA	predicted protein	NA	PTHR13228: FAMILY NOT NAMED; IPR019465: Conserved oligomeric Golgi complex, subunit 5	NA
Bathy16g02540	bathy_chrom_16	+	488291	489754	mRNA	amino Acid/Auxin permease family	NA	IPR013057: Amino acid transporter, transmembrane; PTHR22950: FAMILY NOT NAMED	NA
Bathy16g02550	bathy_chrom_16	-	489837	490845	mRNA	unknown protein	NA	NA	NA
Bathy16g02560	bathy_chrom_16	+	491106	493136	mRNA	magnesium transporter	NA	PTHR13890: FAMILY NOT NAMED	NA
Bathy17g00010	bathy_chrom_17	-	949	2076	mRNA	D-galacturonic acid reductase	GO:0008152;GO:0003824;GO:0005488	IPR000683: Oxidoreductase, N-terminal; SSF51735: NAD(P)-binding Rossmann-fold domains; G3DSA:3.30.360.10: no description; IPR016040: NAD(P)-binding domain; PTHR22604: FAMILY NOT NAMED	NA
Bathy17g00020	bathy_chrom_17	+	2283	5464	mRNA	predicted protein	NA	PTHR13673: FAMILY NOT NAMED; IPR005378: Vacuolar protein sorting-associated protein 35	NA
Bathy17g00030	bathy_chrom_17	-	5581	8181	mRNA	related to histone-lysine N-methyltransferase (ISS)	NA	G3DSA:3.90.1410.10: no description; IPR015353: Rubisco LS methyltransferase, substrate-binding domain; PTHR13271: FAMILY NOT NAMED; SSF82199: SET domain	NA
Bathy17g00040	bathy_chrom_17	+	8409	8933	mRNA	predicted protein	NA	NA	NA
Bathy17g00050	bathy_chrom_17	-	9085	9843	mRNA	predicted protein	GO:0016787	IPR002637: Ham1-like protein; G3DSA:3.90.950.10: no description; SSF52972: ITPase-like	NA
Bathy17g00060	bathy_chrom_17	+	10097	12646	mRNA	predicted protein	NA	PTHR10887: DNA2/NAM7 HELICASE FAMILY; G3DSA:3.40.50.300: no description; IPR003593: ATPase, AAA+ type, core; IPR014001: DEAD-like helicase; G3DSA:3.30.1370.50: no description	NA
Bathy17g00070	bathy_chrom_17	-	12723	13379	mRNA	predicted protein	NA	NA	NA
Bathy17g00080	bathy_chrom_17	+	13633	15282	mRNA	predicted protein	GO:0006508;GO:0004176	IPR003111: Peptidase S16, lon N-terminal; PTHR23327: FAMILY NOT NAMED	NA
Bathy17g00090	bathy_chrom_17	-	15374	16822	mRNA	predicted protein	NA	IPR009009: Barwin-related endoglucanase; IPR007112: Expansin/pollen allergen, DPBB domain	NA
Bathy17g00100	bathy_chrom_17	+	17166	19298	mRNA	cytochrome P450	GO:0020037;GO:0005506;GO:0004497;GO:0055114	IPR001128: Cytochrome P450; PTHR24290: FAMILY NOT NAMED; IPR002401: Cytochrome P450, E-class, group I; IPR017972: Cytochrome P450, conserved site	NA
Bathy17g00110	bathy_chrom_17	+	19610	22687	mRNA	unnamed protein product	GO:0005525	IPR000795: Protein synthesis factor, GTP-binding; G3DSA:2.40.30.10: no description; IPR005517: Translation elongation factor EFG/EF2, domain IV; G3DSA:3.30.70.870: no description; G3DSA:3.40.50.300: no description; IPR004161: Translation elongation factor EFTu/EF1A, domain 2; IPR000640: Translation elongation factor EFG/EF2, C-terminal; PTHR23115: FAMILY NOT NAMED; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR020568: Ribosomal protein S5 domain 2-type fold; IPR014721: Ribosomal protein S5 domain 2-type fold, subgroup; G3DSA:3.90.1430.10: no description	NA
Bathy17g00120	bathy_chrom_17	+	22802	23254	mRNA	unknown protein	NA	G3DSA:3.10.180.10: no description; IPR004360: Glyoxalase/bleomycin resistance protein/dioxygenase	NA
Bathy17g00130	bathy_chrom_17	+	23384	25249	mRNA	unknown protein	NA	NA	NA
Bathy17g00140	bathy_chrom_17	-	25645	28506	mRNA	choline/carnitine/betaine transporter	GO:0016020;GO:0006810;GO:0005215	IPR018093: BCCT transporter, conserved site; IPR006461: Uncharacterised protein family Cys-rich; IPR000060: BCCT transporter family	NA
Bathy17g00150	bathy_chrom_17	-	28708	32220	mRNA	hypothetical protein	NA	NA	NA
Bathy17g00160	bathy_chrom_17	+	32639	33373	mRNA	hypothetical protein MICPUN_55064	NA	IPR023214: HAD-like domain	NA
Bathy17g00170	bathy_chrom_17	-	33486	34427	mRNA	predicted protein	NA	SSF53335: S-adenosyl-L-methionine-dependent methyltransferases; PTHR12176: FAMILY NOT NAMED; G3DSA:3.40.50.150: no description	NA
Bathy17g00180	bathy_chrom_17	-	35052	37574	mRNA	predicted protein	NA	NA	NA
Bathy17g00190	bathy_chrom_17	+	37909	40383	mRNA	predicted protein	GO:0016787	IPR004843: Metallo-dependent phosphatase; PTHR22953: FAMILY NOT NAMED; G3DSA:3.60.21.10: no description	NA
Bathy17g00200	bathy_chrom_17	+	40902	41510	mRNA	thioredoxin domain-containing protein 9	GO:0045454	IPR012335: Thioredoxin fold; PTHR21148: FAMILY NOT NAMED; IPR013766: Thioredoxin domain	NA
Bathy17g00210	bathy_chrom_17	-	41737	43719	mRNA	threonyl-tRNA synthetase	GO:0005524;GO:0006418;GO:0000166;GO:0006412;GO:0004812;GO:0005737	IPR018163: Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain; IPR002314: Aminoacyl-tRNA synthetase, class II (G/ H/ P/ S), conserved domain; IPR002320: Threonyl-tRNA synthetase, class IIa; PTHR11451: FAMILY NOT NAMED; G3DSA:3.30.54.20: no description; IPR006195: Aminoacyl-tRNA synthetase, class II; IPR012947: Threonyl/alanyl tRNA synthetase, SAD; G3DSA:3.30.980.10: no description; G3DSA:3.30.930.10: no description; IPR004154: Anticodon-binding	NA
Bathy17g00220	bathy_chrom_17	+	44482	46542	mRNA	predicted protein	NA	IPR012335: Thioredoxin fold; IPR012336: Thioredoxin-like fold	NA
Bathy17g00230	bathy_chrom_17	-	46612	49133	mRNA	unknown protein	NA	NA	NA
Bathy17g00240	bathy_chrom_17	-	49678	53939	mRNA	unnamed protein product	NA	IPR011889: Bacterial surface protein 26-residue repeat; IPR005046: Protein of unknown function DUF285, lipoprotein predicted	NA
Bathy17g00250	bathy_chrom_17	+	54367	54789	mRNA	unknown protein	NA	NA	NA
Bathy17g00260	bathy_chrom_17	-	55261	60315	mRNA	predicted protein	NA	IPR011889: Bacterial surface protein 26-residue repeat; IPR005046: Protein of unknown function DUF285, lipoprotein predicted	NA
Bathy17g00270	bathy_chrom_17	-	60980	65041	mRNA	predicted protein	GO:0008270	PR00419: ADXRDTASE; IPR002937: Amine oxidase; PTHR10742: AMINE OXIDASE; G3DSA:3.50.50.60: no description; IPR011124: Zinc finger, CW-type; SSF54373: FAD-linked reductases, C-terminal domain	NA
Bathy17g00280	bathy_chrom_17	+	65783	68188	mRNA	predicted protein	GO:0006511;GO:0031625;GO:0031461	G3DSA:1.20.1310.10: no description; IPR011991: Winged helix-turn-helix transcription repressor DNA-binding; IPR016158: Cullin homology; IPR019559: Cullin protein, neddylation domain; IPR001373: Cullin, N-terminal; PTHR11932: FAMILY NOT NAMED; G3DSA:4.10.1030.10: no description	NA
Bathy17g00290	bathy_chrom_17	-	68482	70410	mRNA	eukaryotic translation initiation factor 2A	GO:0005515	IPR013979: Translation initiation factor 2A, beta propellor-like domain; IPR015943: WD40/YVTN repeat-like-containing domain; PTHR13227: FAMILY NOT NAMED	NA
Bathy17g00300	bathy_chrom_17	-	70735	71767	mRNA	40S ribosomal protein S5	GO:0005840;GO:0006412;GO:0005622;GO:0003735	IPR020606: Ribosomal protein S7, conserved site; IPR005716: Ribosomal protein S7, eukaryotic/archaeal; IPR000235: Ribosomal protein S7	NA
Bathy17g00310	bathy_chrom_17	+	72163	72573	mRNA	predicted protein	NA	PTHR21213: FAMILY NOT NAMED	NA
Bathy17g00320	bathy_chrom_17	-	72921	76616	mRNA	nodule inception protein	NA	G3DSA:3.10.20.240: no description; IPR000270: Phox/Bem1p; IPR003035: Plant regulator RWP-RK	NA
Bathy17g00330	bathy_chrom_17	+	77104	78669	mRNA	GPI-anchored wall transfer protein 1	GO:0006506;GO:0016746;GO:0016021;GO:0005789	IPR009447: GWT1	NA
Bathy17g00340	bathy_chrom_17	-	78739	81591	mRNA	glycosyl transferase family 29 protein / sialyltransferase family protein	GO:0006486;GO:0030173;GO:0008373	PTHR13713: FAMILY NOT NAMED; IPR001675: Glycosyl transferase, family 29	NA
Bathy17g00350	bathy_chrom_17	+	81675	82421	mRNA	predicted protein	NA	IPR001763: Rhodanese-like	NA
Bathy17g00360	bathy_chrom_17	-	82923	84045	mRNA	unknown	GO:0005840;GO:0006412;GO:0003735	IPR023573: Ribosomal protein L18a/LX; G3DSA:3.10.20.10: no description; IPR021138: Ribosomal protein L18a	NA
Bathy17g00370	bathy_chrom_17	+	84505	85617	mRNA	predicted protein	NA	NA	NA
Bathy17g00380	bathy_chrom_17	-	85805	87493	mRNA	putative cytoplasmic protein	NA	IPR011040: Neuraminidase; IPR002860: BNR repeat	NA
Bathy17g00390	bathy_chrom_17	+	87735	88829	mRNA	predicted protein	GO:0005509	IPR018247: EF-Hand 1, calcium-binding site; IPR018249: EF-HAND 2; IPR011992: EF-hand-like domain; IPR002048: Calcium-binding EF-hand; PTHR10827: RETICULOCALBIN	NA
Bathy17g00400	bathy_chrom_17	-	88922	90574	mRNA	predicted protein	NA	NA	NA
Bathy17g00410	bathy_chrom_17	+	91172	92428	mRNA	predicted protein	GO:0008171	IPR002935: O-methyltransferase, family 3; G3DSA:3.40.50.150: no description	NA
Bathy17g00420	bathy_chrom_17	-	92812	94689	mRNA	predicted protein	GO:0030955;GO:0000287;GO:0004743;GO:0006096	IPR015806: Pyruvate kinase, beta-barrel insert domain; IPR015795: Pyruvate kinase, C-terminal-like; IPR018209: Pyruvate kinase, active site; IPR011037: Pyruvate kinase-like, insert domain; IPR015813: Pyruvate/Phosphoenolpyruvate kinase; IPR015794: Pyruvate kinase, alpha/beta; IPR001697: Pyruvate kinase; IPR015793: Pyruvate kinase, barrel	NA
Bathy17g00430	bathy_chrom_17	+	95085	98675	mRNA	predicted protein	GO:0005515	IPR007857: Skb1 methyltransferase; IPR000682: Protein-L-isoaspartate(D-aspartate) O-methyltransferase; IPR011990: Tetratricopeptide-like helical; PTHR11006: FAMILY NOT NAMED; G3DSA:2.70.160.11: no description; G3DSA:3.40.50.150: no description; IPR019734: Tetratricopeptide repeat	NA
Bathy17g00440	bathy_chrom_17	-	98779	99765	mRNA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	GO:0003949;GO:0000105	IPR013785: Aldolase-type TIM barrel; IPR006062: Histidine biosynthesis; IPR011858: Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase, eukaryotic	NA
Bathy17g00450	bathy_chrom_17	+	99962	101935	mRNA	predicted protein	GO:0005488	IPR000582: Acyl-CoA-binding protein, ACBP; IPR015915: Kelch-type beta propeller; PTHR23244: FAMILY NOT NAMED; IPR014352: FERM/acyl-CoA-binding protein, 3-helical bundle	NA
Bathy17g00460	bathy_chrom_17	+	102377	103145	mRNA	Ubiquitin-conjugating enzyme E2 C	NA	IPR016135: Ubiquitin-conjugating enzyme/RWD-like; PTHR24067: FAMILY NOT NAMED; SM00212: no description; IPR000608: Ubiquitin-conjugating enzyme, E2; IPR023313: Ubiquitin-conjugating enzyme, active site	NA
Bathy17g00470	bathy_chrom_17	-	103428	104642	mRNA	predicted protein	GO:0005622;GO:0003676	IPR000467: D111/G-patch; PTHR13948: FAMILY NOT NAMED	NA
Bathy17g00480	bathy_chrom_17	+	105401	106672	mRNA	predicted protein	GO:0008081;GO:0006629	IPR000909: Phospholipase C, phosphatidylinositol-specific , X domain; PTHR13593: FAMILY NOT NAMED; IPR017946: PLC-like phosphodiesterase, TIM beta/alpha-barrel domain	NA
Bathy17g00490	bathy_chrom_17	+	106948	109668	mRNA	predicted protein	GO:0016020;GO:0008417;GO:0006486	IPR001503: Glycosyl transferase, family 10	NA
Bathy17g00500	bathy_chrom_17	+	110205	110600	mRNA	predicted protein	NA	NA	NA
Bathy17g00510	bathy_chrom_17	-	110814	112289	mRNA	hypothetical protein	GO:0008138;GO:0006470	G3DSA:3.90.190.10: no description; PTHR10159: DUAL SPECIFICITY PROTEIN PHOSPHATASE; IPR000387: Protein-tyrosine/Dual-specificity phosphatase; IPR000340: Dual specificity phosphatase, catalytic domain; IPR020422: Dual specificity phosphatase, subgroup, catalytic domain	NA
Bathy17g00520	bathy_chrom_17	-	112431	113759	mRNA	unknown protein	GO:0044237	SSF100950: NagB/RpiA/CoA transferase-like; IPR000649: Initiation factor 2B-related; G3DSA:3.40.50.10470: no description	NA
Bathy17g00530	bathy_chrom_17	+	113959	114765	mRNA	PREDICTED: similar to predicted protein	NA	IPR020683: Ankyrin repeat-containing domain; PTHR24133: FAMILY NOT NAMED	NA
Bathy17g00540	bathy_chrom_17	+	115119	117051	mRNA	monovalent Cation:Proton antiporter-1 family	NA	NA	NA
Bathy17g00550	bathy_chrom_17	-	117194	117550	mRNA	predicted protein	GO:0005740;GO:0008121;GO:0006122	IPR008027: Ubiquinol-cytochrome C reductase, UQCRX/QCR9-like	NA
Bathy17g00560	bathy_chrom_17	+	117979	120144	mRNA	predicted protein	NA	IPR013809: Epsin-like, N-terminal; IPR008942: ENTH/VHS; IPR014712: Clathrin adaptor, phosphoinositide-binding, GAT-like; IPR011417: ANTH; PTHR22951: FAMILY NOT NAMED; SSF89009: GAT-like domain	NA
Bathy17g00570	bathy_chrom_17	+	120557	122248	mRNA	major facilitator superfamily	NA	IPR020846: Major facilitator superfamily; PTHR11662: FAMILY NOT NAMED; IPR011701: Major facilitator superfamily MFS-1; G3DSA:1.20.1250.20: no description; IPR016196: Major facilitator superfamily, general substrate transporter	NA
Bathy17g00580	bathy_chrom_17	+	122351	123286	mRNA	unknown protein	GO:0005975;GO:0003824	IPR013783: Immunoglobulin-like fold; IPR002044: Glycoside hydrolase, carbohydrate-binding	NA
