Vocar.0001s0003.1	5-formyltetrahydrofolate cycloligase.
Vocar.0022s0052.1	very similar to C. reinhardtii V3.0 protein 192763, identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0022s0106.1	homologous to Chlamydomonas PETF (147787), Fe2S2 containing redox protein involved in photosynthetic electron transfer, chloroplast localization [PMID: 16656453].
Vocar.0022s0111.1	Flagellar inner arm dynein 1 heavy chain beta (DHC1-beta); also called DHC10 in the Chlamydomonas literature. (The Chlamydomonas ortholog is called: IDA2).
Vocar.0022s0115.1	26S proteasome regulatory complex, base subcomplex, ATPase Rpt1 (subunit 7).
Vocar.0022s0145.1	DnaJ-like heat shock protein 4; member of the DnaJ superfamily; molecular chaperone.
Vocar.0022s0150.1	thioredoxin-like protein; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a la
Vocar.0022s0156.1	eukaryotic translation initiation factor 3h.
Vocar.0022s0159.1	protein conserved only in organisms with motile cilia (Mot12); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0022s0227.1	acyl-carrier protein, probably mitochondrial; NADH:ubiquinone oxidoreductase subunit protein.
Vocar.0023s0048.1	component of oligomeric golgi complex 1 (Cog1); involved in vesicle tethering and other Golgi functions.
Vocar.0023s0049.1	splicing factor like protein; hnRNP-F-like.
Vocar.0023s0049.2	splicing factor like protein; hnRNP-F-like.
Vocar.0023s0050.1	Dynein heavy chain 7 (putative flagellar inner arm dynein heavy chain). (The Chlamydomonas ortholog is called: DHC7).
Vocar.0023s0114.1	protein conserved only in organisms with motile cilia (Mot46); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0023s0118.1	autophagy protein.
Vocar.0023s0146.1	Unknown protein (The Chlamydomonas ortholog is called: MTA4).
Vocar.0023s0146.2	Unknown protein (The Chlamydomonas ortholog is called: MTA4).
Vocar.0023s0158.1	unknown protein (The Chlamydomonas ortholog is called: MTA3).
Vocar.0023s0164.1	Protein containing a SPRY Domain(Domain in SPla and the RYanodine Receptor) similar to the ASH2L component of the SET1 complex in Chlamydomonas (XP_001699235).
Vocar.0023s0174.1	encodes actin-related protein Arp2; syntenic with C. reinhardtii ARP2 gene 196433.
Vocar.0023s0180.1	This is homologous to Chlamydomonas LHCA7 (ID:183363) but another model (ID:78552) is more similar.
Vocar.0023s0180.2	This is homologous to Chlamydomonas LHCA7 (ID:183363) but another model (ID:78552) is more similar.
Vocar.0023s0204.1	putative kinesin-like protein; contains tetratricopeptide repeat (TPR) domains.
Vocar.0023s0204.2	putative kinesin-like protein; contains tetratricopeptide repeat (TPR) domains.
Vocar.0023s0207.1	DnaJ-like heat shock protein 19; member of the DnaJ superfamily; molecular chaperone.
Vocar.0023s0214.1	DNA replication factor C complex subunit 2 (Rfc2); accessory protein of DNA polymerase.
Vocar.0023s0221.1	actin-depolymerizing factor AdfA; contains cofilin-like domains.
Vocar.0024s0002.1	transcription factor Myb4; belongs to the Myb superfamily; Myb transcription factors are known to play regulatory roles in developmental processes and defense responses in plants.
Vocar.0024s0024.1	deoxyhypusine hydroxylase; hydroxylates deoxyhypusine, the last step in formation of hypusine (PMID: 17476569); this unusual aminoacid is found uniquely on a specific residue of eIF5 and is important for the control of cellular proliferation and growth (P
Vocar.0024s0048.1	20S proteasome alpha subunit E (type 5).
Vocar.0024s0050.1	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.
Vocar.0024s0056.1	radial spoke protein 14; a subunit in the radial spoke; contains an Armadillo repeat.
Vocar.0024s0063.1	mitochondrial ribosomal protein L11; imported to mitochondria.
Vocar.0024s0066.1	Rab-related GTPase (Rab7) belongs to Rab11/Ypt3 family of small GTPases; GTP-binding protein; probably orthologous to C. reinhardtii RABL2A. Rab-related GTPase, belongs to Rab11/Ypt3 family of small GTPases; GTP-binding protein; probably orthologous to C.
Vocar.0024s0081.1	endoplasmic reticulum membrane-associated oxidoreductin 1 (Ero1) family protein; involved in disulfide bond formation.
Vocar.0024s0081.2	endoplasmic reticulum membrane-associated oxidoreductin 1 (Ero1) family protein; involved in disulfide bond formation.
Vocar.0024s0088.1	homologous to C. reinhardtii intraflagellar transport protein IFT81. intraflagellar transport protein Ift81.
Vocar.0024s0100.1	component of oligomeric golgi complex 5 (Cog5); involved in vesicle tethering and other Golgi functions.
Vocar.0024s0106.1	mitochondrial F1F0 ATP synthase associated protein (Asa5).
Vocar.0024s0133.1	Encodes GlsA, J-domain chaperone that interacts with Hsp70A and is required for asymmetric cell division; reference: Miller, S.M. and Kirk, D.L., (1999) Development 126:649-58 [PMID: 9895313];Genbank entries AF110134 and AF110135.
Vocar.0024s0163.1	Arf-related GTPase (Arf6) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0024s0227.1	volvoxrhodopsin; bifunctional sensory photoreceptor; light-regulated sensory photoreceptor; reference: Ebnet E, Fischer M, Deininger W, Hegemann P (1999) Plant Cell, 11:1473-1484 [PMID: 10449581]; Genbank entry Y11204.
Vocar.0024s0232.1	putative 3-isopropylmalate dehydratase (EC 4.2.1.33), large subunit; isopropylmalate isomerase; predicted as plastidic by homology. (The Chlamydomonas ortholog is called: LEU1L).
Vocar.0024s0236.1	radial spoke protein 10; a subunit in the radial spoke head; contains multiple MORN motifs.
Vocar.0025s0060.1	periplasmic arylsulfatase (ars1) (aryl-sulfate sulphohydrolase); sulfate-repressible; reference: Hallmann, A. and Sumper, M. (1994) Eur. J. Biochem. 221: 143-150 [PMID: 8168504]; Genbank entries X77214 and DQ660415.
Vocar.0025s0077.1	Aurora-like protein kinase homolog 2; serine/threonine protein kinase; regulates chromosome segregation and cytokinesis in mammals.
Vocar.0025s0090.1	orthologous to Chlamydomonas BLD1, encoding intraflagellar transport protein IFT52.
Vocar.0025s0110.1	acetylglucosaminyltransferase (Elg8); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0025s0110.2	acetylglucosaminyltransferase (Elg8); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0025s0112.1	Contains the Helix-turn-helix type 3 domain (IPR001387).
Vocar.0025s0117.1	Arf-related GTPase (Arf9) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0025s0120.1	putative RWP-RK domain transcription factor. (The Chlamydomonas ortholog is called: RWP8).
Vocar.0025s0131.1	ribosomal protein L23; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0025s0166.1	NADP-dependent isocitrate dehydrogenase (EC 1.1.1.42), mitochondrial precursor.
Vocar.0025s0166.2	NADP-dependent isocitrate dehydrogenase (EC 1.1.1.42), mitochondrial precursor.
Vocar.0025s0171.1	beta-carotene hydroxylase, carotene beta-hydroxylase, chloroplast precursor.
Vocar.0025s0194.1	IPR001092 Basic helix-loop-helix dimerisation region bHLH. Basic helix-loop-helix proteins (bHLH) are a group of eukaryotic transcription factors that exert a determinative influence in a variety of developmental pathways. These transcription factors are
Vocar.0026s0057.1	structural maintenance of chromosomes (SMC) protein 3 homolog; subunit of the condensin complex, which reorganizes chromosomes during cell division; coiled-coil protein of the SMC family involved in chromosome condensation and segregation.
Vocar.0026s0064.1	branched chain amino acid aminotransferase (Bca2).
Vocar.0026s0065.1	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.
Vocar.0026s0071.1	1,4-alpha-glucan branching enzyme II (Glgb4); alpha-amylase.
Vocar.0026s0083.1	SppA, protease IV, signal peptide peptidase. (The Chlamydomonas ortholog is called: SPP1A).
Vocar.0026s0085.1	gene conserved only in ciliated organisms, including those with non-motile (sensory, structural and assembly, SSA) cilia; identified by comparative genomics.
Vocar.0026s0091.1	NimA-related protein kinase homolog 5 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0026s0092.1	T-complex protein 1, gamma subunit (CCT3); TCP-1 gamma subunit; subunit of cytosolic chaperonin complex.
Vocar.0026s0106.1	Closest C. reinhardtii homolog is RAB28. A longer protein model supported by VISTA track is required. As noted in Chlamy annotation, Rab28 is a closest homolog found in mammals but not in land plants/Ostreococcus. However, the similarity to Rab28 is not s
Vocar.0026s0116.1	20S proteasome alpha subunit G (type 3).
Vocar.0026s0121.1	regA-like sequence D; RlsD contains a VARL domain and is predicted to function as a DNA-binding transcription factor; orthologous to C. reinhardtii RLS1.
Vocar.0026s0122.1	Acetate Kinase (EC 2.7.2.1); Acetokinase; compartmentation unclear; ortholog of C. reinhardtii ACK2.
Vocar.0026s0127.1	flagellar outer dynein arm light chain 5 (LC5); a thioredoxin-like protein.
Vocar.0026s0127.2	flagellar outer dynein arm light chain 5 (LC5); a thioredoxin-like protein.
Vocar.0027s0029.1	dihydrolipoamide dehydrogenase (EC 1.8.1.4), glycine cleavage system L protein (GCSL), mitochondrial precursor.
Vocar.0027s0068.1	Flagellar outer dynein arm heavy chain gamma. This is the pf28 mutant in Chlamydomonas. (The Chlamydomonas ortholog is called: ODA2).
Vocar.0027s0094.1	homolog of Chlamydomonas PSBW, Photosystem II reaction center W protein, chloroplast precursor.
Vocar.0027s0106.1	very similar to C. reinhardtii FAP118, which is found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome as FBB1 [PMID: 15137946]; upregulated by deflagellation.
Vocar.0027s0135.1	gamma tubulin interacting protein; gamma tubulin ring complex protein 3.
Vocar.0027s0138.1	histone H2A (histone H2A-5); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0027s0141.1	histone H4 (histone H4-4); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811]; Genbank entry X06963.
Vocar.0027s0143.1	histone H2B (histone H2B-5); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0027s0144.1	histone H2A (histone H2A-3); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0027s0145.1	4-alpha-glucanotransferase, cytosolic; glycoside hydrolase family 77; transfers mostly maltosyl residues from a donor oligosaccharide to the nonreducing end of an acceptor.
Vocar.0027s0145.2	4-alpha-glucanotransferase, cytosolic; glycoside hydrolase family 77; transfers mostly maltosyl residues from a donor oligosaccharide to the nonreducing end of an acceptor.
Vocar.0027s0145.3	4-alpha-glucanotransferase, cytosolic; glycoside hydrolase family 77; transfers mostly maltosyl residues from a donor oligosaccharide to the nonreducing end of an acceptor.
Vocar.0027s0147.1	histone H2A (histone H2A-4); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0027s0149.1	histone H3 (histone H3-3); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0027s0150.1	histone H4 (histone H4-3); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0027s0164.1	sex-inducer (sex2), sex-inducing pheromone; sexual pheromone; extracellular glycoprotein; references: Mages, H.W., Tschochner, H. and Sumper, M. (1988) FEBS Lett. 234: 407-410 [PMID: 2839374]; Tschochner, H., Lottspeich, F. and Sumper, M. (1987) EMBO J. 6
Vocar.0027s0198.1	Ornithine-oxo-acid transaminase [EC:2.6.1.13] (ornithine aminotransferase); aminotransferase class III, similar to ornithine aminotransferase from Anopheles (GenBank EAA03164); targeted to mitochondria by homology and also predicted mitochondrial by Targe
Vocar.0028s0006.1	pyruvate kinase; EC 2.7.1.40; catalyses the final step in glycolysis, which is the conversion of phosphoenolpyruvate to pyruvate with concomitant phosphorylation of ADP to ATP; probably cytosolic.
Vocar.0028s0032.1	elongation factor-like protein; similar to yeast Hbs1p, which plays a role in nonsense-mediated decay.
Vocar.0028s0032.2	elongation factor-like protein; similar to yeast Hbs1p, which plays a role in nonsense-mediated decay.
Vocar.0028s0060.1	encodes myosin heavy chain, type XI.
Vocar.0028s0066.1	phosphoglycerate mutase; phosphoglycerate/bisphosphoglycerate mutase family protein.
Vocar.0028s0068.1	eukaryotic translation initiation factor 3a.
Vocar.0028s0075.1	eukaryotic translation initiation factor 2 beta; IF5 family member.
Vocar.0028s0094.1	related to bacterial zupT homologs; (CrZIP10); PMID: 15710683; PMID: 16766055.
Vocar.0028s0099.1	histone H2B (histone H2B-1); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0028s0100.1	histone H2A (histone H2A-1); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0028s0101.1	histone H3 (histone H3-1); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811]; Genbank entry X06963.
Vocar.0028s0102.1	histone H4 (histone H4-1); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0028s0137.1	COG0674, PorA, Pyruvate:ferredoxin oxidoreductase; pfam01855, Pyruvate flavodoxin/ferredoxin oxidoreductase (= NIFJ).
Vocar.0028s0149.1	histone H4 (histone H4-2); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0028s0150.1	histone H3 (histone H3-II); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811]; Genbank entry X06964.
Vocar.0028s0155.1	minichromosome maintenance protein 7, DNA replication protein.
Vocar.0028s0157.1	light harvesting complex A; reference: Choi, G., Przybylska, M. and Straus, D. (1996) Curr. Genet. 30: 347-355 [PMID: 8781179]; Genbank entry U22329. gonidia-specific cDNA G8, PMID:10654090. One of a number of light harvesting complex a protein genes, cal
Vocar.0028s0159.1	Alanine aminotransferase (EC 2.6.1.2); (The Chlamydomonas ortholog is called: AAT1).
Vocar.0028s0160.1	putative threonine synthase (EC:4.2.3.1); plastid location expected based on homology. (The Chlamydomonas ortholog is called: THS1).
Vocar.0028s0183.1	coproporphyrinogen III oxidase (CPO, HEM13), chloroplast precursor.
Vocar.0029s0010.1	vacuolar ATP synthase subunit A, V-ATPase A, vacuolar proton pump alpha subunit.
Vocar.0029s0030.1	maintenance DNA methyltransferase; DNA (cytosine-5)-methyltransferase; reference: Babinger, P., V lkl, R., Cakstina, I., Maftei, A. and Schmitt, R. (2007) Plant Mol. Biol. 63: 325-336 [PMID: 17033890]; Genbank entry DQ406744.
Vocar.0029s0060.1	homologous to YODA, a MAPKK kinase required for proper embryonic and stomatal cell division symmetries.
Vocar.0029s0077.1	ClpD chaperone, Hsp100 family, probably chloroplastic; possibly acting as ATP-dependent subunit of Clp protease.
Vocar.0029s0089.1	protein conserved only in organisms with motile cilia (Mot48); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0029s0104.1	p34 cdc2/CDK1 ortholog; cyclin dependent kinase; orthologous to plant CDKA, animal CDK1; PSTAIRE motif.
Vocar.0029s0188.1	PMID: 9498569.
Vocar.0030s0018.1	allantoinase (dihydroorotase), amidohydrolase family protein; metal dependent hydrolase.
Vocar.0030s0022.1	plastid / chloroplast ribosomal protein L11; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L11.
Vocar.0030s0053.1	splicing factor 3a, subunit 1.
Vocar.0030s0112.1	26S proteasome regulatory complex, base subcomplex, non-ATPase regulatory subunit Rpn2 (subunit 1; Psd1; PSMD1).
Vocar.0030s0140.1	thioredoxin; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a large variety o
Vocar.0030s0140.2	thioredoxin; thioredoxins are small ubiquitous oxidoreductases found in all free living organisms; they take part in thiol-disulfide exchange reactions; thioredoxins reduce disulfide bridges of various target proteins and are involved in a large variety o
Vocar.0030s0142.1	putative CENPE type kinesin-like protein. Please see a new model (PID:127423).
Vocar.0030s0182.1	putative microtubule-associated, TNF receptor associated protein; homolog of C. reinhardtii FAP116, found in flagellar proteome.
Vocar.0031s0002.1	photosystem I reaction center subunit VI, chloroplast precursor.
Vocar.0031s0006.1	plastid / chloroplast ribosomal protein L19; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L19.
Vocar.0031s0009.1	glyceraldehyde 3-phosphate dehydrogenase; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123099.
Vocar.0031s0012.1	cyclin dependent kinase; corresponds to CDKI1/LF2 in Chlamydomonas.
Vocar.0031s0013.1	plastid / chloroplast ribosomal protein S16; imported to chloroplast; plastid / chloroplast small ribosomal subunit protein S16.
Vocar.0031s0018.1	Contains a MATH domain (IPR002083).
Vocar.0031s0019.1	ribosomal protein L9; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0031s0024.1	adenylate kinase (Adk3); adenylate kinases are phosphotransferases that catalyse the reversible reaction AMP + MgATP = ADP + MgADP.
Vocar.0031s0036.1	structural maintenance of chromosomes (SMC) protein 4 homolog; subunit of the condensin complex, which reorganizes chromosomes during cell division; coiled-coil protein of the SMC family involved in chromosome condensation and segregation.
Vocar.0031s0066.1	homolog of Chlamydomonas reinhardtii PSR1, which is Myb-like DNA binding domain and coiled-coil domain containing transcription factor required for phosphate deficiency-inducible gene expression.
Vocar.0031s0074.1	eukaryotic translation initiation factor 2 alpha.
Vocar.0031s0093.1	polyubiquitin (ubqA); contains ubiquitin tandem repeats; ubiquitin acts through its post-translational attachment (ubiquitinylation) to other proteins for proteasome-mediated degradation, internalization etc.; reference: Schiedlmeier, B. and Schmitt, R. (
Vocar.0031s0093.2	polyubiquitin (ubqA); contains ubiquitin tandem repeats; ubiquitin acts through its post-translational attachment (ubiquitinylation) to other proteins for proteasome-mediated degradation, internalization etc.; reference: Schiedlmeier, B. and Schmitt, R. (
Vocar.0031s0093.3	polyubiquitin (ubqA); contains ubiquitin tandem repeats; ubiquitin acts through its post-translational attachment (ubiquitinylation) to other proteins for proteasome-mediated degradation, internalization etc.; reference: Schiedlmeier, B. and Schmitt, R. (
Vocar.0031s0107.1	protein of unknown function UPF2; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123095.
Vocar.0031s0108.1	Flagellar inner arm dynein 1 heavy chain alpha (dynein heavy chain 1) (subspecies f)(DHC1-alpha). The pf9 mutant in Chlamydomonas is defective in this gene. (The Chlamydomonas ortholog is called: PF9).
Vocar.0031s0114.1	malate dehydrogenase (MDH) (= malic dehydrogenase) [EC:1.1.1.37]; NAD-dependent.
Vocar.0032s0018.1	very similar to C. reinhardtii cytoplasmic dynein 1b light intermediate chain (homologue of mammalian D2LIC/LIC3). Subunit of cytoplasmic dynein 1b, the retrograde motor for intraflagellar transport.
Vocar.0032s0064.1	highly conserved orthlogue of cre FAP103 found in the flagellar proteome [PMID: 15998802].
Vocar.0032s0137.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc17).
Vocar.0032s0139.1	gonidia-specific cDNA G37; PMID:10654090. cytochrome b6f complex; subunit PetN; chloroplast targeted; (The Chlamydomonas ortholog is called: PETN).
Vocar.0032s0151.1	encodes predicted tubuin tyrosine ligase TtlD.
Vocar.0033s0033.1	DnaJ-like heat shock protein 24; member of the DnaJ superfamily; molecular chaperone.
Vocar.0033s0033.2	DnaJ-like heat shock protein 24; member of the DnaJ superfamily; molecular chaperone.
Vocar.0033s0033.3	DnaJ-like heat shock protein 24; member of the DnaJ superfamily; molecular chaperone.
Vocar.0033s0034.1	acetylglucosaminyltransferase (Elg7); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0033s0037.1	NaCl-inducible protein NipA; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123092.
Vocar.0033s0037.2	NaCl-inducible protein NipA; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123092.
Vocar.0033s0037.3	NaCl-inducible protein NipA; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123092.
Vocar.0033s0046.1	Encodes FtsZ homolog FtsZ1; plastid division protein.
Vocar.0033s0060.1	Similar to the RabC/Rab18 type GTPase. There are three RabC/Rab18 related genes (rabC1-C3) in Volvox genome. Rab-related GTPase belongs to RabC/Rab18 family of small GTPases (not found in land plants); GTP-binding protein.
Vocar.0033s0066.1	ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit.
Vocar.0033s0066.2	ribulose-1,5-bisphosphate carboxylase/oxygenase small subunit.
Vocar.0033s0072.1	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=nucleotide&val=AY205158.
Vocar.0033s0072.2	http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=nucleotide&val=AY205158.
Vocar.0033s0073.1	One of two HSF genes in genome; encodes transcription factor involved in stress response regulation.
Vocar.0033s0101.1	meiotic cell division protein Pelota / Dom34; similar to Dom34p in Saccharomyces cerevisiae, which is similar to translation termination factors and required for nonsense-mediated decay.
Vocar.0033s0121.1	similar to C. reinhardtii POC11, which is found in basal body proteome [PMID: 15964273].
Vocar.0033s0131.1	aspartate aminotransferase (Ast1); catalyses the reaction: L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.
Vocar.0033s0145.1	histone H3 (histone H3-11); reference: M ller, K. and Schmitt, R. (1988) Nucleic Acids Res. 16: 4121-4136 [PMID: 2836811].
Vocar.0033s0153.1	protein conserved only in organisms with motile cilia (Mot59); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0033s0177.1	mitochondrial ribosomal protein L36; imported to mitochondria.
Vocar.0033s0178.1	ribosomal protein L10E; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0033s0178.2	ribosomal protein L10E; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0033s0178.3	ribosomal protein L10E; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0034s0005.1	ribosomal protein L7; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0034s0005.2	ribosomal protein L7; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0034s0026.1	Encodes Hsp70 protein (Hsp70D) that is most similar to Hsp70 family members that localize to chloroplast; orthologous to C. reinhardtii HSP70D.
Vocar.0034s0079.1	ribosomal protein S13; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0035s0002.1	contains ubiquinone methylase domain.
Vocar.0035s0005.1	Contains 3 Calcium-binding EF-hand domains (IPR002048), and has some similarity to programmed cell death protein 6.
Vocar.0035s0007.1	eukaryotic translation initiation factor 4E; part of 4F complex.
Vocar.0035s0029.1	eukaryotic translation initiation factor 3b.
Vocar.0035s0058.1	plastid / chloroplast ribosomal protein S10; imported to chloroplast; plastid / chloroplast small ribosomal subunit protein S10.
Vocar.0035s0068.1	mitogen-activated protein kinase kinase kinase 3; MEK3 kinase; MAPKKK3; MAP3K3.
Vocar.0035s0076.1	eukaryotic translation initiation factor 3i.
Vocar.0035s0094.1	succinate-CoA ligase alpha chain, succinyl-CoA synthetase, mitochondrial precursor.
Vocar.0035s0094.2	succinate-CoA ligase alpha chain, succinyl-CoA synthetase, mitochondrial precursor.
Vocar.0035s0097.1	malate dehydrogenase (MDH) (= malic dehydrogenase) [EC:1.1.1.37]; NAD-dependent; nuclear gene; gene product is localized in the chloroplast.
Vocar.0035s0137.1	alpha tubulin (tubA1), protein in microtubules; reference: Mages, W., Salbaum, J.M., Harper, J.F. and Schmitt, R. (1988) Mol. Gen. Genet. 213: 449-458 [PMID: 3185511]; Genbank entry X12846.
Vocar.0035s0144.1	regulated by CCM1 [PMID: 15235119].
Vocar.0036s0043.1	superoxide dismutase [Mn], manganese superoxide dismutase.
Vocar.0036s0090.1	eukaryotic translation initiation factor 2 gamma.
Vocar.0036s0097.1	Arf-related GTPase (Arf1) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0036s0097.2	Arf-related GTPase (Arf1) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0036s0110.1	vesicle coat protein clathrin, heavy chain.
Vocar.0036s0111.1	ribosomal protein L10A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0036s0113.1	phospholipase A2 protein. (The Chlamydomonas ortholog is called: PLA2).
Vocar.0037s0016.1	structural maintenance of chromosomes (SMC) protein 6 homolog; subunit of the condensin complex, which reorganizes chromosomes during cell division; coiled-coil protein of the SMC family involved in chromosome condensation and segregation.
Vocar.0037s0016.2	structural maintenance of chromosomes (SMC) protein 6 homolog; subunit of the condensin complex, which reorganizes chromosomes during cell division; coiled-coil protein of the SMC family involved in chromosome condensation and segregation.
Vocar.0037s0031.1	pumilio family (Puf) protein; contains pumilio-family RNA binding domains; the pumilio protein family is thought to repress gene expression by affecting mRNA translation or stability.
Vocar.0037s0033.1	flagellar outer dynein arm light chain 3 (LC3); a thioredoxin-like protein.
Vocar.0037s0035.1	ribosomal protein L12; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0037s0039.1	The enzyme 8-oxo-7,8-dihydrodeoxyguanosine triphosphatase (8-oxo-dGTPase) is present in a variety of organisms, where it plays an important role in the control of spontaneous mutagenesis.
Vocar.0037s0040.1	L-aspartate oxidase (EC 1.4.3.16).
Vocar.0037s0047.1	gene conserved only in ciliated organisms, including those with non-motile (sensory, structural and assembly, SSA) cilia; identified by comparative genomics.
Vocar.0037s0052.1	DNA replication factor C complex subunit 5 (Rfc5); accessory protein of DNA polymerase.
Vocar.0037s0059.1	encodes dynein light chain type I; orthologous to C. reinhardtii MOT24; identified by comparative genomics as being present only in organisms having motile cilia; gene conserved only in organisms with motile (MOT) cilia.
Vocar.0037s0060.1	flagellar outer arm dynein light chain (Tctex2).
Vocar.0037s0078.1	ribosomal protein S27; component of 80S ribosome and 40S small subunit.
Vocar.0037s0080.1	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.; similar to Arabidopsis DRP5A, a dynamin-type GTPase involved in plastid division.
Vocar.0037s0080.2	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.; similar to Arabidopsis DRP5A, a dynamin-type GTPase involved in plastid division.
Vocar.0037s0080.3	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.; similar to Arabidopsis DRP5A, a dynamin-type GTPase involved in plastid division.
Vocar.0037s0080.4	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.; similar to Arabidopsis DRP5A, a dynamin-type GTPase involved in plastid division.
Vocar.0037s0082.1	Aurora-like protein kinase homolog 1; serine/threonine protein kinase; regulates chromosome segregation and cytokinesis in mammals.
Vocar.0037s0084.1	ribosomal protein L7A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0037s0088.1	B-type mitotic cyclin. Ortholog of Chlamydomonas CYCB1.
Vocar.0037s0098.1	partial putative Kif19 type kinesin. Please see another longer model (PID:127424).
Vocar.0037s0106.1	Zinc finger, Dof type; DOF (DNA-binding with One Finger)family includes transcription factors putatively specific to plants.
