Gene ID	description
Bathy16g01570	predicted protein
Bathy16g01580	predicted protein
Bathy16g01590	predicted protein
Bathy16g01600	predicted protein
Bathy16g01610	PREDICTED: similar to predicted protein
Bathy16g01620	predicted protein
Bathy16g01630	predicted protein
Bathy16g01640	predicted protein
Bathy16g01650	SET domain-containing protein-like (ISS)
Bathy16g01660	chitinase
Bathy16g01670	acetolactate synthase
Bathy16g01680	predicted protein
Bathy16g01690	rRNA (guanine-N(1)-)-methyltransferase
Bathy16g01700	predicted protein
Bathy16g01710	unknown protein
Bathy16g01720	predicted protein
Bathy16g01730	unknown protein
Bathy16g01740	conserved hypothetical protein
Bathy16g01750	predicted protein
Bathy16g01760	cell wall surface anchor family protein
Bathy16g01770	predicted protein
Bathy16g01780	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy16g01790	predicted protein
Bathy16g01800	predicted protein
Bathy16g01810	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy16g01820	unknown protein
Bathy16g01830	thioredoxin-like protein 1
Bathy16g01840	AP-2 complex subunit mu-1
Bathy16g01850	unknown protein
Bathy16g01860	unknown protein
Bathy16g01870	PREDICTED: similar to predicted protein
Bathy16g01880	aromatic amino acid permease
Bathy16g01890	predicted protein
Bathy16g01900	predicted protein
Bathy16g01910	predicted protein
Bathy16g01920	predicted protein
Bathy16g01930	predicted protein
Bathy16g01940	unknown protein
Bathy16g01950	predicted protein
Bathy16g01960	predicted protein
Bathy16g01970	unknown
Bathy16g01980	unknown protein
Bathy16g01990	predicted protein
Bathy16g02000	predicted protein
Bathy16g02010	predicted protein
Bathy16g02020	predicted protein
Bathy16g02030	predicted protein
Bathy16g02040	predicted protein
Bathy16g02050	unknown protein
Bathy16g02060	unknown protein
Bathy16g02070	predicted protein
Bathy16g02080	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy16g02090	predicted protein
Bathy16g02100	predicted protein
Bathy16g02110	unknown protein
Bathy16g02120	predicted protein
Bathy16g02130	unknown protein
Bathy16g02140	unknown protein
Bathy16g02150	unknown protein
Bathy16g02160	predicted protein
Bathy16g02170	conserved hypothetical protein
Bathy16g02180	predicted protein
Bathy16g02190	hydrolase, TatD family
Bathy16g02200	HAD-superfamily hydrolase, subfamily IA, variant 3
Bathy16g02210	undecaprenyl diphosphate synthase
Bathy16g02220	predicted protein
Bathy16g02230	predicted protein
Bathy16g02240	predicted protein
Bathy16g02250	predicted protein
Bathy16g02260	unnamed protein product
Bathy16g02270	predicted protein
Bathy16g02280	predicted protein
Bathy16g02290	proline aminopeptidase P II
Bathy16g02300	predicted protein
Bathy16g02310	phototropin
Bathy16g02320	predicted protein
Bathy16g02330	unknown protein
Bathy16g02340	argininosuccinate synthase
Bathy16g02350	predicted protein
Bathy16g02360	predicted protein
Bathy16g02370	predicted protein
Bathy16g02380	predicted protein
Bathy16g02390	predicted protein
Bathy16g02400	predicted protein
Bathy16g02410	predicted protein
Bathy16g02420	predicted protein
Bathy16g02430	predicted protein
Bathy16g02440	predicted protein
Bathy16g02450	predicted protein
Bathy16g02460	unknown protein
Bathy16g02470	predicted protein
Bathy16g02480	predicted protein
Bathy16g02490	unknown protein
Bathy16g02500	predicted protein
Bathy16g02510	predicted protein
Bathy16g02520	unknown protein
Bathy16g02530	predicted protein
Bathy16g02540	amino Acid/Auxin permease family
Bathy16g02550	unknown protein
Bathy16g02560	magnesium transporter
Bathy17g00010	D-galacturonic acid reductase
Bathy17g00020	predicted protein
Bathy17g00030	related to histone-lysine N-methyltransferase (ISS)
Bathy17g00040	predicted protein
Bathy17g00050	predicted protein
Bathy17g00060	predicted protein
Bathy17g00070	predicted protein
Bathy17g00080	predicted protein
Bathy17g00090	predicted protein
Bathy17g00100	cytochrome P450
Bathy17g00110	unnamed protein product
Bathy17g00120	unknown protein
Bathy17g00130	unknown protein
Bathy17g00140	choline/carnitine/betaine transporter
Bathy17g00150	hypothetical protein
Bathy17g00160	hypothetical protein MICPUN_55064
Bathy17g00170	predicted protein
Bathy17g00180	predicted protein
Bathy17g00190	predicted protein
Bathy17g00200	thioredoxin domain-containing protein 9
Bathy17g00210	threonyl-tRNA synthetase
Bathy17g00220	predicted protein
Bathy17g00230	unknown protein
Bathy17g00240	unnamed protein product
Bathy17g00250	unknown protein
Bathy17g00260	predicted protein
Bathy17g00270	predicted protein
Bathy17g00280	predicted protein
Bathy17g00290	eukaryotic translation initiation factor 2A
Bathy17g00300	40S ribosomal protein S5
Bathy17g00310	predicted protein
Bathy17g00320	nodule inception protein
Bathy17g00330	GPI-anchored wall transfer protein 1
Bathy17g00340	glycosyl transferase family 29 protein / sialyltransferase family protein
Bathy17g00350	predicted protein
Bathy17g00360	unknown
Bathy17g00370	predicted protein
Bathy17g00380	putative cytoplasmic protein
Bathy17g00390	predicted protein
Bathy17g00400	predicted protein
Bathy17g00410	predicted protein
Bathy17g00420	predicted protein
Bathy17g00430	predicted protein
Bathy17g00440	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
Bathy17g00450	predicted protein
Bathy17g00460	Ubiquitin-conjugating enzyme E2 C
Bathy17g00470	predicted protein
Bathy17g00480	predicted protein
Bathy17g00490	predicted protein
Bathy17g00500	predicted protein
Bathy17g00510	hypothetical protein
Bathy17g00520	unknown protein
Bathy17g00530	PREDICTED: similar to predicted protein
Bathy17g00540	monovalent Cation:Proton antiporter-1 family
Bathy17g00550	predicted protein
Bathy17g00560	predicted protein
Bathy17g00570	major facilitator superfamily
Bathy17g00580	unknown protein
Bathy17g00590	predicted protein
Bathy17g00600	predicted protein
Bathy17g00610	unknown protein
Bathy17g00620	predicted protein
Bathy17g00630	unknown protein
Bathy17g00640	PREDICTED: similar to predicted protein
Bathy17g00650	predicted protein
Bathy17g00660	hypothetical protein
Bathy17g00670	unknown protein
Bathy17g00680	Ycf48-like protein
Bathy17g00690	predicted protein
Bathy17g00700	predicted protein
Bathy17g00710	predicted protein
Bathy17g00720	PREDICTED: similar to predicted protein
Bathy17g00730	predicted protein
Bathy17g00740	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy17g00750	nucleosome assembly protein
Bathy17g00760	unknown protein
Bathy17g00770	PREDICTED: similar to predicted protein
Bathy17g00780	unknown protein
Bathy17g00790	predicted protein
Bathy17g00800	hypothetical protein
Bathy17g00810	PREDICTED: similar to predicted protein
Bathy17g00820	predicted protein
Bathy17g00830	predicted protein
Bathy17g00840	PREDICTED: similar to predicted protein
Bathy17g00850	predicted protein
Bathy17g00860	predicted protein
Bathy17g00870	unknown
Bathy17g00880	predicted protein
Bathy17g00890	predicted protein
Bathy17g00900	predicted protein
Bathy17g00910	soluble starch synthase III-1
Bathy17g00920	predicted protein
Bathy17g00930	predicted protein
Bathy17g00940	predicted protein
Bathy17g00950	unknown protein
Bathy17g00960	prefoldin subunit 4
Bathy17g00970	aldehyde dehydrogenase
Bathy17g00980	proline dehydrogenase
Bathy17g00990	unknown protein
Bathy17g01000	PREDICTED: similar to predicted protein
Bathy17g01010	predicted protein
Bathy17g01020	DUF563 domain protein
Bathy17g01030	unknown protein
Bathy17g01040	abnormal spindle-like microcephaly-associated protein
Bathy17g01050	predicted protein
Bathy17g01060	unknown protein
Bathy17g01070	predicted protein
Bathy17g01080	predicted protein
Bathy17g01090	predicted protein
Bathy17g01100	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy17g01110	predicted protein
Bathy17g01120	unknown protein
Bathy17g01130	ferredoxin--NADP(+) reductase
Bathy17g01140	unknown protein
Bathy17g01150	hypothetical protein MICPUN_101026
Bathy17g01160	predicted protein
Bathy17g01170	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy17g01180	predicted protein
Bathy17g01190	predicted protein
Bathy17g01200	DNA primase small subunit
Bathy17g01210	predicted protein
Bathy17g01220	unknown protein
Bathy17g01230	predicted protein
Bathy17g01240	hypothetical protein
Bathy17g01250	unknown protein
Bathy17g01260	predicted protein
Bathy17g01270	predicted protein
Bathy17g01280	predicted protein
Bathy17g01290	unknown protein
Bathy17g01300	unknown protein
Bathy17g01310	predicted protein
Bathy17g01320	unknown protein
Bathy17g01330	predicted protein
Bathy17g01340	unknown protein
Bathy17g01350	PREDICTED: similar to predicted protein
Bathy17g01360	unknown protein
Bathy17g01370	predicted protein
Bathy17g01380	predicted protein
Bathy17g01390	hypothetical protein CHLNCDRAFT_51550
Bathy17g01400	unknown protein
Bathy17g01410	unknown protein
Bathy17g01420	unknown protein
Bathy17g01430	acyl-CoA dehydrogenase
Bathy17g01440	predicted protein
Bathy17g01450	predicted protein
Bathy17g01460	unknown protein
Bathy17g01470	unknown protein
Bathy17g01480	predicted protein
Bathy17g01490	unknown protein
Bathy17g01500	unknown protein
Bathy17g01510	Sigma factor sigB regulation protein rsbU
Bathy17g01520	predicted protein
Bathy17g01530	MGC82995 protein (ISS)
Bathy17g01540	predicted protein
Bathy17g01550	predicted protein
Bathy17g01560	unnamed protein product
Bathy17g01570	Lysyl hydroxylase (ISS)
Bathy17g01580	unknown protein
Bathy17g01590	predicted protein
Bathy17g01600	predicted protein
Bathy17g01610	unknown protein
Bathy17g01620	predicted protein
Bathy17g01630	unknown protein
Bathy17g01640	Dehydratase
Bathy17g01650	predicted protein
Bathy17g01660	predicted protein
Bathy17g01670	putative phosphoribosylformylglycinamidine cyclo-ligase
Bathy17g01680	predicted protein
Bathy17g01690	unknown protein
Bathy17g01700	predicted protein
Bathy17g01710	predicted protein
Bathy17g01720	unknown protein
Bathy17g01730	predicted protein
Bathy17g01740	tRNA guanosine-2'-O-methyltransferase
Bathy17g01750	DUF821 domain-containing protein
Bathy17g01760	PREDICTED: similar to predicted protein
Bathy17g01770	predicted protein
Bathy17g01780	predicted protein
Bathy17g01790	conserved hypothetical protein
Bathy17g01800	predicted protein
Bathy17g01810	origin recognition complex subunit 2
Bathy17g01820	methionine-R-sulfoxide reductase
Bathy17g01830	predicted protein
Bathy17g01840	unknown protein
Bathy17g01850	DedA family protein
Bathy17g01860	bile Acid:Na+ symporter family
Bathy17g01870	unknown protein
Bathy17g01880	cobalamin synthesis protein P47K
Bathy17g01890	PREDICTED: similar to ankyrin 2,3/unc44
Bathy17g01900	predicted protein
Bathy17g01910	succinate dehydrogenase, putative
Bathy17g01920	onanonoxo-7-onima-8-eninoihtemlysoneda
Bathy17g01930	predicted protein
Bathy17g01940	predicted protein
Bathy17g01950	predicted protein
Bathy17g01960	Eukaryotic translation initiation factor 1A, X-chromosomal
Bathy17g01970	asparaginyl-tRNA synthetase
Bathy17g01980	folylpolyglutamate synthase
Bathy17g01990	predicted protein
Bathy17g02000	predicted protein
Bathy17g02010	predicted protein
Bathy17g02020	predicted protein
Bathy17g02030	predicted protein
Bathy17g02040	predicted protein
Bathy17g02050	unknown
Bathy17g02060	predicted protein
Bathy17g02070	predicted protein
Bathy17g02080	transketolase
Bathy17g02090	signal recognition particle-docking protein FtsY
Bathy17g02100	predicted protein
Bathy17g02110	cobyrinic acid a,c-diamide synthase
Bathy17g02120	50S ribosomal protein L18
Bathy17g02130	predicted protein
Bathy17g02140	beta-galactosidase alpha-2,6 sialyltransferase
Bathy17g02150	rubredoxin
Bathy17g02160	unknown protein
Bathy17g02170	translation elongation factor G
Bathy17g02180	unknown protein
Bathy17g02190	ubiquinone/menaquinone biosynthesis methyltransferase
Bathy17g02200	pteridine transporter
Bathy17g02210	predicted protein
Bathy17g02220	predicted protein
Bathy17g02230	Qc-SNARE, USE1-family
Bathy17g02240	peptidylprolyl isomerase FKBP-type
Bathy17g02250	ATP-dependent protease peptidase subunit
Bathy17g02260	unknown protein
Bathy17g02270	hexapaptide repeat-containing transferase
Bathy17g02280	predicted protein
Bathy17g02290	O-phosphoseryl-tRNA(Sec) selenium transferase
Bathy17g02300	predicted protein
Bathy17g02310	predicted protein
Bathy18g00010	TonB-dependent receptor
Bathy18g00020	ATP-binding cassette superfamily
Bathy18g00030	predicted protein
Bathy18g00040	unknown protein
Bathy18g00050	unnamed protein product
Bathy18g00060	predicted protein
Bathy18g00070	predicted protein
Bathy18g00080	predicted protein
Bathy18g00090	predicted protein
Bathy18g00100	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
Bathy18g00110	predicted protein
Bathy18g00120	unknown protein
Bathy18g00130	unknown protein
Bathy18g00140	predicted protein
Bathy18g00150	predicted protein
Bathy18g00160	novel protein containing a galactose binding lectin domain
Bathy18g00170	unknown protein
Bathy18g00180	unknown protein
Bathy18g00190	40S ribosomal protein S3
Bathy18g00200	predicted protein
Bathy18g00210	unnamed protein product
Bathy18g00220	predicted protein
Bathy18g00230	unknown protein
Bathy18g00240	GrpE protein
Bathy18g00250	Predicted proline hydroxylase
Bathy18g00260	predicted protein
Bathy18g00270	predicted protein
Bathy18g00280	predicted protein
Bathy18g00290	mitochondrial manganese superoxide dismutase
Bathy18g00300	predicted protein
Bathy18g00310	nuclear division RFT1-like protein
Bathy18g00320	predicted protein
Bathy18g00330	predicted protein
Bathy18g00340	predicted protein
Bathy18g00350	unknown protein
Bathy18g00360	threonine synthase
Bathy18g00370	unknown protein
Bathy18g00380	unnamed protein product
Bathy18g00390	predicted protein
Bathy18g00400	unknown protein
Bathy18g00410	conserved hypothetical protein
Bathy18g00420	predicted protein
Bathy18g00430	predicted protein
Bathy18g00440	unnamed protein product
Bathy18g00450	unknown protein
Bathy18g00460	phosphopantothenoylcysteine decarboxylase
Bathy18g00470	seryl-tRNA synthetase
Bathy18g00480	unknown protein
Bathy18g00490	PREDICTED: similar to predicted protein
Bathy18g00500	predicted protein
Bathy18g00510	predicted protein
Bathy18g00520	unknown protein
Bathy18g00530	predicted protein
Bathy18g00540	predicted protein
Bathy18g00550	N-acetyltransferase 5
Bathy18g00560	putative allantoin catabolism protein
Bathy18g00570	predicted protein
Bathy18g00580	predicted protein
Bathy18g00590	WD40 repeat protein
Bathy18g00600	PREDICTED: similar to predicted protein
Bathy18g00610	predicted protein
Bathy18g00620	cellulase
Bathy18g00630	predicted protein
Bathy18g00640	60S ribosomal protein L9
Bathy18g00650	predicted protein
Bathy18g00660	regulatory factor Sgt1
Bathy18g00670	predicted protein
Bathy18g00680	hypothetical protein
Bathy18g00690	predicted protein
Bathy18g00700	PBCV-1 prolyl 4-hydroxylase (ISS)
Bathy18g00710	predicted protein
Bathy18g00720	ABC transporter family protein
Bathy18g00730	predicted protein
Bathy18g00740	predicted protein
Bathy18g00750	unknown protein
Bathy18g00760	unnamed protein product
Bathy18g00770	predicted protein
Bathy18g00780	unknown protein
Bathy18g00790	predicted protein
Bathy18g00800	unnamed protein product
Bathy18g00810	predicted protein
Bathy18g00820	unknown protein
Bathy18g00830	PREDICTED: similar to predicted protein
Bathy18g00840	NAD-dependent epimerase/dehydratase
Bathy18g00850	predicted protein
Bathy18g00860	isoleucyl-tRNA synthetase
Bathy18g00870	unknown protein
Bathy18g00880	6-phosphogluconate dehydrogenase
Bathy18g00890	unknown protein
Bathy18g00900	predicted protein
Bathy18g00910	unnamed protein product
Bathy18g00920	tryptophan synthase subunit alpha
Bathy18g00930	unknown protein
Bathy18g00940	citrate transporter
Bathy18g00950	PREDICTED: similar to predicted protein
Bathy18g00960	predicted protein
Bathy18g00970	APG4C_XENLA Cysteine protease APG4C (ISS)
Bathy18g00980	PREDICTED: similar to predicted protein
Bathy18g00990	predicted protein
Bathy18g01000	predicted protein
Bathy18g01010	predicted protein
Bathy18g01020	predicted protein
Bathy18g01030	PREDICTED: similar to predicted protein
Bathy18g01040	DNA replication licensing factor mcm5
Bathy18g01050	predicted protein
Bathy18g01060	predicted protein
Bathy18g01070	predicted protein
Bathy18g01080	unknown protein
Bathy18g01090	PREDICTED: similar to predicted protein
Bathy18g01100	unknown protein
Bathy18g01110	hsc70-interacting protein
Bathy18g01120	Mot1
Bathy18g01130	PREDICTED: similar to predicted protein
Bathy18g01140	predicted protein
Bathy18g01150	unknown protein
Bathy18g01160	predicted protein
Bathy18g01170	predicted protein
Bathy18g01180	predicted protein
Bathy18g01190	PREDICTED: similar to predicted protein
Bathy18g01200	predicted protein
Bathy18g01210	unknown protein
Bathy18g01220	predicted protein
Bathy18g01230	predicted protein
Bathy18g01240	predicted protein
Bathy18g01250	predicted protein
Bathy18g01260	predicted protein
Bathy18g01270	PREDICTED: similar to predicted protein
Bathy18g01280	unknown protein
Bathy18g01290	unknown protein
Bathy18g01300	predicted protein
Bathy18g01310	unknown protein
Bathy18g01320	peptidyl-tRNA hydrolase
Bathy18g01330	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy18g01340	Pre-mRNA-processing-splicing factor 8
Bathy18g01350	unknown protein
Bathy18g01360	glycogen phosphorylase
Bathy18g01370	hypothetical protein MICPUN_52455
Bathy18g01380	predicted protein
Bathy18g01390	unnamed protein product
Bathy18g01400	unknown protein
Bathy18g01410	predicted protein
Bathy18g01420	ribosomal large subunit pseudouridine synthase D
Bathy18g01430	predicted protein
Bathy18g01440	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
Bathy18g01450	predicted protein
Bathy18g01460	predicted protein
Bathy18g01470	predicted protein
Bathy18g01480	hypothetical protein CHLNCDRAFT_133443
Bathy18g01490	unnamed protein product
Bathy18g01500	imidazole glycerol phosphate synthase hisHF
Bathy18g01510	predicted protein
Bathy18g01520	predicted protein
Bathy18g01530	predicted protein
Bathy18g01540	predicted protein
Bathy18g01550	unknown protein
Bathy18g01560	predicted protein
Bathy19g00010	methyltransferase
Bathy19g00020	unknown protein
Bathy19g00030	glycosyltransferase
Bathy19g00040	unknown protein
Bathy19g00050	unknown protein
Bathy19g00060	unnamed protein product
Bathy19g00070	unnamed protein product
Bathy19g00080	predicted protein
Bathy19g00090	glycoside hydrolase
Bathy19g00100	predicted protein
Bathy19g00110	predicted protein
Bathy19g00120	unknown protein
Bathy19g00130	unknown protein
Bathy19g00140	glucose dehydratase
Bathy19g00150	methyltransferase
Bathy19g00160	unknown protein
Bathy19g00170	predicted protein
Bathy19g00175	unknown protein
Bathy19g00180	unknown protein
Bathy19g00190	hypothetical protein MICPUN_57357
Bathy19g00200	unknown protein
Bathy19g00210	predicted protein
Bathy19g00220	glycosyltransferase CAZy GT90
Bathy19g00230	unnamed protein product
Bathy19g00240	fucosyltransferase
Bathy19g00250	unknown protein
Bathy19g00260	sialyltransferase
Bathy19g00270	unknown protein
Bathy19g00280	sialyltransferase
Bathy19g00290	unknown protein
Bathy19g00300	unknown protein
Bathy19g00310	hypothetical protein NAEGRDRAFT_81948
Bathy19g00320	unknown protein
Bathy19g00330	unknown protein
Bathy19g00340	predicted protein
Bathy19g00350	unknown protein
Bathy19g00360	unknown protein
Bathy19g00370	unknown protein
Bathy19g00380	unnamed protein product
Bathy19g00390	unknown protein
Bathy19g00400	unknown protein
Bathy19g00410	glycosyltransferase
Bathy19g00420	sialyltransferase
Bathy19g00430	fucosyltransferase
Bathy19g00440	unknown protein
Bathy19g00450	unknown protein
Bathy19g00460	O-methyltransferase I
Bathy19g00470	unknown protein
Bathy19g00480	unknown protein
Bathy19g00490	unknown protein
Bathy19g00500	unknown protein
Bathy19g00510	dehydrorhamnose reductase
Bathy19g00520	unknown protein
Bathy19g00530	methyltransferase
Bathy19g00540	methyltransferase
Bathy19g00550	unknown protein
Bathy19g00560	predicted protein
Bathy19g00570	fucosyltransferase
Bathy19g00580	unknown protein
Bathy19g00590	methyltransferase
Bathy19g00600	methyltransferase
Bathy19g00610	unknown protein
Bathy19g00620	predicted protein
Bathy19g00630	Nucleotide diphospho-sugar transferase
Bathy19g00640	glycosyltransferase family 4
Bathy19g00650	glycosyltransferase family 8
Bathy19g00660	unknown protein
Bathy19g00670	retrotransposon protein, putative, unclassified
Bathy19g00680	unknown protein
Bathy19g00690	predicted protein
Bathy19g00700	sialyltransferase
Bathy19g00710	unknown protein
Bathy100g00010	ABC transporter, ATP-binding protein
Bathy100g00020	permease
Bathy101g00010	transcriptional regulator, TetR family protein
Bathy101g00020	methionine sulfoxide reductase B
Bathy101g00030	cytochrome c oxidase accessory protein CcoG
Bathy101g00040	copper-translocating P-type ATPase
Bathy102g00010	adenylate cyclase
Bathy102g00020	peroxiredoxin
Bathy102g00030	alkyl hydroperoxide reductase, F subunit
Bathy102g00040	peptidase M12B, ADAM/reprolysin
Bathy103g00010	acyl-CoA dehydrogenase domain-containing protein
Bathy103g00020	acriflavin resistance protein
Bathy104g00010	abortive infection protein
Bathy104g00020	aspartate aminotransferase
Bathy105g00010	ribonuclease E
Bathy105g00020	aminotransferase class I and II
Bathy105g00030	peptidase M48, Ste24p
Bathy106g00010	florfenicol resistance protein
Bathy106g00020	isochorismatase hydrolase
Bathy106g00030	AraC family transcriptional regulator
Bathy106g00040	short-chain dehydrogenase/reductase SDR
Bathy106g00050	LysR family transcriptional regulator
Bathy106g00060	radical SAM enzyme, Cfr family
Bathy107g00010	ArsR family transcriptional regulator
Bathy107g00020	6-aminohexanoate-dimer hydrolase
Bathy107g00030	transglycosylase-associated protein
Bathy107g00040	conserved hypothetical protein
Bathy107g00050	putative NAD(P)H oxidoreductase
Bathy108g00010	branched-chain amino acid ABC transporter, ATP-binding protein
Bathy108g00020	branched-chain amino acid ABC transporter, ATP-binding protein
Bathy108g00030	methyl-accepting chemotaxis protein
Bathy109g00010	transcriptional regulator, GntR family protein
Bathy109g00020	aldehyde dehydrogenase
Bathy109g00030	transcriptional regulator, GntR family protein
Bathy109g00040	glutamine synthetase family protein
Bathy110g00010	Na+/solute symporter
Bathy110g00020	cyclic nucleotide-binding protein
Bathy111g00010	nitrogen regulation protein NR(II)
Bathy111g00020	conserved hypothetical protein
Bathy111g00030	GTP-binding protein TypA
Bathy112g00010	Two-component response regulator
Bathy112g00020	two-component sensor protein
Bathy112g00030	two component transcriptional regulator
Bathy113g00010	glutathione synthetase
Bathy113g00020	conserved hypothetical protein
Bathy113g00030	twitching motility protein
Bathy113g00040	twitching motility protein
Bathy113g00050	pyridoxal phosphate enzyme, YggS family
Bathy114g00010	glycosyl transferase family 2
Bathy114g00020	unknown protein
Bathy114g00030	secreted polysaccharide polymerase
Bathy115g00010	DNA protecting protein DprA
Bathy115g00020	DNA topoisomerase I
Bathy116g00010	5-oxoprolinase
Bathy116g00020	conserved hypothetical protein
Bathy116g00030	TRAP dicarboxylate transporter, DctM subunit
Bathy117g00010	tail tape measure protein TP901 core region
Bathy117g00020	unknown protein
Bathy117g00030	major tail protein tp901-1
Bathy117g00040	phage protein, HK97 gp10 family
Bathy118g00010	aldehyde dehydrogenase
Bathy118g00020	putative esterase
Bathy118g00030	conserved hypothetical protein
Bathy119g00010	ATP-dependent helicase HrpB
Bathy119g00020	sigma-54 dependent transcriptional regulator
Bathy119g00030	TRAP dicarboxylate transporter- DctP subunit
Bathy119g00040	Tripartite ATP-independent periplasmic transporter DctQ component
Bathy120g00010	alcohol dehydrogenase
Bathy120g00020	hypothetical protein MADE_01748
Bathy120g00030	haloalkane dehalogenase
Bathy120g00040	3-hydroxyacyl-CoA dehydrogenase NAD-binding
Bathy121g00010	N-formylglutamate amidohydrolase
Bathy121g00020	histidinol-phosphate phosphatase
Bathy121g00030	alpha/beta hydrolase fold
Bathy121g00040	heat shock protein Hsp20
Bathy122g00010	two-component system sensor histidine kinase
Bathy122g00020	unknown protein
Bathy122g00030	unknown protein
Bathy123g00010	sulfatase
Bathy123g00020	sulfatase
Bathy123g00030	Beta-glucuronidase
Bathy124g00010	UDP-glucose 6-dehydrogenase
Bathy125g00010	phosphoenolpyruvate carboxylase
Bathy125g00020	malate dehydrogenase
Bathy126g00010	methyl-accepting chemotaxis sensory transducer
Bathy126g00020	response regulator receiver protein
Bathy126g00030	chemotaxis-specific methylesterase
Bathy127g00010	zipper-like domain-containing protein
Bathy127g00020	transposase
Bathy128g00010	TetR family transcriptional regulator
Bathy128g00020	7-cyano-7-deazaguanine reductase
Bathy129g00010	4-hydroxybenzoate octaprenyltransferase
Bathy129g00020	rhomboid family protein
Bathy22g00010	S-adenosylmethionine synthetase
Bathy22g00020	apolipoprotein N-acyltransferase
Bathy22g00030	PhoH family protein
Bathy22g00040	(dimethylallyl)adenosine tRNA methylthiotransferase
Bathy22g00050	phospholipid/glycerol acyltransferase
Bathy22g00060	ribosomal-protein-alanine acetyltransferase
Bathy22g00070	Scaffold protein Nfu/NifU
Bathy22g00080	universal stress family protein
Bathy22g00090	tryptophanyl-tRNA synthetase
Bathy22g00100	integral membrane protein MviN
Bathy22g00110	PII uridylyl-transferase
Bathy22g00120	DNA mismatch repair protein MutS
Bathy22g00130	conserved hypothetical protein
Bathy22g00140	XRE family transcriptional regulator
Bathy22g00150	unknown protein
Bathy22g00160	isocitrate lyase
Bathy22g00170	acetyltransferase
Bathy22g00180	sensor histidine kinase
Bathy22g00190	unknown protein
Bathy22g00200	unknown protein
Bathy22g00210	Mg chelatase-related protein
Bathy22g00220	LysR family transcriptional regulator
Bathy22g00230	auxin efflux carrier
Bathy22g00240	multiple antibiotic resistance (MarC)-related protein
Bathy22g00250	transcriptional regulator, HxlR family
Bathy22g00260	hypothetical protein SIAM614_19341
Bathy22g00270	lactoylglutathione lyase
Bathy22g00280	glutathione synthetase
Bathy22g00290	conserved hypothetical protein
Bathy22g00300	tetrapyrrole methylase family protein
Bathy22g00310	extracellular ligand-binding receptor
Bathy22g00320	activator of Hsp90 ATPase 1 family protein
Bathy22g00330	ArsR family transcriptional regulator
Bathy22g00340	coproporphyrinogen III oxidase
Bathy22g00350	heat-inducible transcription repressor
Bathy22g00360	heat shock protein GrpE
Bathy22g00370	unknown protein
Bathy22g00380	diguanylate cyclase/phosphodiesterase
Bathy22g00390	molecular chaperone DnaK
Bathy22g00400	chaperone protein DnaJ
Bathy22g00410	phosphoglycerate mutase
Bathy22g00420	orotidine 5'-phosphate decarboxylase
Bathy22g00430	dihydrodipicolinate reductase
Bathy22g00440	AraC family transcriptional regulator
Bathy22g00450	conserved hypothetical protein
Bathy23g00010	ATPase
Bathy23g00020	conserved hypothetical protein
Bathy23g00030	LysR family transcriptional regulator
Bathy23g00040	oxidoreductase
Bathy23g00050	peptidase S41
Bathy23g00060	transcriptional regulator araC family protein
Bathy23g00070	ATP-dependent DNA helicase RecG
Bathy23g00080	transcriptional antiterminator
Bathy23g00090	pirin domain-containing protein
Bathy23g00100	phytanoyl-CoA dioxygenase
Bathy23g00110	conserved hypothetical protein
Bathy23g00130	endonuclease/exonuclease/phosphatase
Bathy23g00140	TPR repeat-containing protein
Bathy23g00150	RNA polymerase sigma factor
Bathy23g00160	conserved hypothetical protein
Bathy23g00170	conserved hypothetical protein
Bathy23g00180	ATP-dependent DNA helicase RecQ
