"Gene" "Common ID or description"
"6305" "ostta14g01810" "Helicase, C-terminal                 "
"6306" "ostta14g01820" "unnamed product                 "
"6307" "ostta14g01830" "Pyrophosphate-dependent phosphofructokinase TP0108                "
"6308" "ostta14g01840" "Lysine-tRNA ligase, class II               "
"6309" "ostta14g01850" "Ribosomal protein L31                "
"6310" "ostta14g01860" "unnamed product                 "
"6311" "ostta14g01870" "Alpha-ketoglutarate-dependent dioxygenase AlkB-like                "
"6312" "ostta14g01880" "DNA-binding HORMA                 "
"6313" "ostta14g01890" "Malate/L-lactate dehydrogenase                 "
"6314" "ostta14g01900" "Glutamate synthase, alpha subunit, C-terminal n/a  Glutamate synthase, alpha subunit, C-terminal       "
"6315" "ostta14g01910" "Spore coat protein CotH               "
"6316" "ostta14g01920" "Transcription initiation factor IIF, beta subunit             "
"6317" "ostta14g01930" "unnamed product                 "
"6318" "ostta14g01940" "K Homology domain, type 1              "
"6319" "ostta14g01950" "Ribosomal protein L19                "
"6320" "ostta14g01960" "Formyl transferase, N-terminal                "
"6321" "ostta14g01970" "Thioredoxin-like fold                 "
"6322" "ostta14g01980" "Methyltransferase type 11                "
"6323" "ostta14g01990" "Myc-type, basic helix-loop-helix bHLH domain              "
"6324" "ostta14g02000" "unnamed product                 "
"6325" "ostta14g02010" "Heme A synthase                "
"6326" "ostta14g02020" "Rad4/PNGase transglutaminase-like fold                "
"6327" "ostta14g02030" "Pleckstrin homology-like domain                "
"6328" "ostta14g02040" "RNA C5-cytosine methyltransferase                "
"6329" "ostta14g02050" "WASH complex subunit 7 N-terminal n/a  WASH complex subunit 7 N-terminal       "
"6330" "ostta14g02070" "RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta             "
"6331" "ostta14g02080" "Tim10/DDP family zinc finger               "
"6332" "ostta14g02090" "DNA-binding domain                 "
"6333" "ostta14g02100" "Sugar fermentation stimulation protein               "
"6334" "ostta14g02110" "unnamed product                 "
"6335" "ostta14g02120" "Maf-like protein                 "
"6336" "ostta14g02130" "Arf GTPase activating protein               "
"6337" "ostta14g02140" "Thioredoxin-like fold                 "
"6338" "ostta14g02150" "MIF4-like, type 01/02/03                "
"6339" "ostta14g02160" "Protein of unknown function DUF4504              "
"6340" "ostta14g02170" "unnamed product                 "
"6341" "ostta14g02180" "Glycosyl hydrolase, family 13 catalytic domain             "
"6342" "ostta14g02190" " n/a  unnamed product              "
"6343" "ostta14g02197" "6,7-dimethyl-8-ribityllumazine synthase n/a  6,7-dimethyl-8-ribityllumazine synthase             "
"6344" "ostta14g02200" "UbiA prenyltransferase family n/a  UbiA prenyltransferase family           "
"6345" "ostta14g02210" "Nucleoporin, Nup133/Nup155-like, C-terminal                "
"6346" "ostta14g02220" "Nucleotide-binding, alpha-beta plait                "
"6347" "ostta14g02230" "Thioredoxin-like fold n/a  Thioredoxin-like fold             "
"6348" "ostta14g02235" "Domain of unknown function DUF1279 n/a  Domain of unknown function DUF1279       "
"6349" "ostta14g02240" "Mur ligase, C-terminal                "
"6350" "ostta14g02250" "unnamed product                 "
"6351" "ostta14g02260" "Metalloenzyme, LuxS/M16 peptidase-like                "
"6352" "ostta14g02270" "unnamed product                 "
"6353" "ostta14g02280" "Major facilitator superfamily domain, general substrate transporter            "
"6354" "ostta14g02290" "unnamed product                 "
"6355" "ostta14g02300" "Ribosomal protein L20                "
"6356" "ostta14g02310" "Ribosomal protein S8e/ribosomal biogenesis NSA2              "
"6357" "ostta14g02320" "unnamed product                 "
"6358" "ostta14g02330" "Polycomb protein, VEFS-Box                "
"6359" "ostta14g02340" "Mitochondrial substrate/solute carrier                "
"6360" "ostta14g02345" "Zinc finger, RING/FYVE/PHD-type n/a  Zinc finger, RING/FYVE/PHD-type           "
"6361" "ostta14g02350" "1,4-dihydroxy-2-naphthoate phytyltransferase n/a  1,4-dihydroxy-2-naphthoate phytyltransferase             "
"6362" "ostta14g02360" "RmlC-like jelly roll fold               "
"6363" "ostta14g02370" "Cytochrome b5-like heme/steroid binding domain              "
"6364" "ostta14g02380" "unnamed product                 "
"6365" "ostta14g02390" "GPI inositol-deacylase PGAP1-like                "
"6366" "ostta14g02400" "Small GTPase superfamily, ARF/SAR type              "
"6367" "ostta14g02410" "Platelet-activating factor acetylhydrolase n/a  Platelet-activating factor acetylhydrolase           "
"6368" "ostta14g02420" "Serine hydroxymethyltransferase, pyridoxal phosphate binding site n/a  Serine hydroxymethyltransferase, pyridoxal phosphate binding site     "
"6369" "ostta14g02430" "RZZ complex, subunit Zw10               "
"6370" "ostta14g02440" "unnamed product                 "
"6371" "ostta14g02450" "unnamed product                 "
"6372" "ostta14g02460" "unnamed product                 "
"6373" "ostta14g02470" "Aspartate/glutamate/uridylate kinase                 "
"6374" "ostta14g02475" "Rhodanese-like domain n/a  Rhodanese-like domain             "
"6375" "ostta14g02480" "DNA repair protein Rad4 n/a  DNA repair protein Rad4         "
"6376" "ostta14g02490" "WD40/YVTN repeat-like-containing domain n/a  WD40/YVTN repeat-like-containing domain           "
"6377" "ostta14g02495" " n/a  hypothetical protein              "
"6378" "ostta14g02500" "LUC7-related                  "
"6379" "ostta14g02510" "GPI mannosyltransferase                 "
"6380" "ostta14g02520" "unnamed product                 "
"6381" "ostta14g02530" " n/a  unnamed product              "
"6382" "ostta14g02540" "Cation/H+ exchanger                 "
"6383" "ostta14g02550" "unnamed product                 "
"6384" "ostta14g02560" "Kazal domain                 "
"6385" "ostta14g02570" "G-protein beta WD-40 repeat               "
"6386" "ostta14g02580" "Nnf1                  "
"6387" "ostta14g02590" "Crotonase superfamily                 "
"6388" "ostta14g02600" "P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nucleoside triphosphate hydrolase       "
"6389" "ostta14g02610" "Tetratricopeptide repeat                 "
"6390" "ostta14g02620" "Streptomyces cyclase/dehydrase                 "
"6391" "ostta14g02630" "Mog1/PsbP, alpha/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich   Mog1/PsbP, alpha/beta/alpha sandwich "
"6392" "ostta14g02635" "Rossmann-like alpha/beta/alpha sandwich fold               "
"6393" "ostta14g02640" "Protein of unknown function DUF2048              "
"6394" "ostta14g02650" "START-like domain                 "
"6395" "ostta14g02660" "Peptide chain release factor class I/class II            "
"6396" "ostta14g02670" "Helicase-associated                  "
"6397" "ostta14g02680" "unnamed product                 "
"6398" "ostta14g02690" "unnamed product                 "
"6399" "ostta14g02695" "Nucleolar protein 12 n/a  Nucleolar protein 12           "
"6400" "ostta14g02700" "Nucleolar protein 12 n/a  Nucleolar protein 12           "
"6401" "ostta14g02710" "Ribosomal RNA small subunit methyltransferase E             "
"6402" "ostta14g02720" "Nonaspanin TM9SF n/a  Nonaspanin TM9SF             "
"6403" "ostta14g02730" " n/a  unnamed product              "
"6404" "ostta14g02740" "Peptidase M66                 "
"6405" "ostta14g02750" "Tetratricopeptide repeat n/a  Tetratricopeptide repeat             "
"6406" "ostta14g02760" "Acyl-CoA N-acyltransferase                 "
"6407" "ostta14g02770" "Ribosomal protein S13                "
"6408" "ostta14g02775" "P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nucleoside triphosphate hydrolase       "
"6409" "ostta14g02780" "P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nucleoside triphosphate hydrolase       "
"6410" "ostta14g02790" "unnamed product                 "
"6411" "ostta14g02795" "Protein of unknown function DUF1499 n/a  Protein of unknown function DUF1499       "
"6412" "ostta14g02800" "Serine/threonine-protein kinase, active site n/a  Serine/threonine-protein kinase, active site         "
"6413" "ostta14g02810" "RNAPII transcription regulator C-terminal               "
"6414" "ostta14g02820" "unnamed product                 "
"6415" "ostta14g02830" "Snf7                  "
"6416" "ostta14g02840" "unnamed product                 "
"6417" "ostta14g02845" "Six-bladed beta-propeller, TolB-like n/a  Six-bladed beta-propeller, TolB-like           "
"6418" "ostta14g02850" " n/a  unnamed product n/a  hypothetical protein n/a  unnamed product      "
"6419" "ostta14g02860" "Glycoside hydrolase-type carbohydrate-binding, subgroup               "
"6420" "ostta14g02870" "Synaptobrevin                  "
"6421" "ostta14g02880" "Yip1 domain n/a  Yip1 domain             "
"6422" "ostta14g02890" "Isopentenyl-diphosphate delta-isomerase, type 1 n/a  Isopentenyl-diphosphate delta-isomerase, type 1         "
"6423" "ostta14g02900" "Histidine phosphatase superfamily, clade-1               "
"6424" "ostta14g02910" "Acyl-CoA N-acyltransferase                 "
"6425" "ostta14g02920" "Actin-related protein 2 Arp2               "
"6426" "ostta14g02930" "unnamed product                 "
"6427" "ostta14g02935" "Zinc finger, C2H2-type matrin n/a  Zinc finger, C2H2-type matrin         "
"6428" "ostta14g02940" "Zinc finger, C2H2-type matrin n/a  Zinc finger, C2H2-type matrin         "
"6429" "ostta14g02945" "Ubiquitin-conjugating enzyme, active site n/a  Ubiquitin-conjugating enzyme, active site         "
"6430" "ostta14g02950" "Helix-turn-helix, base-excision DNA repair, C-terminal n/a  Helix-turn-helix, base-excision DNA repair, C-terminal       "
"6431" "ostta14g02960" "NLI interacting factor                "
"6432" "ostta14g02970" "Isocitrate/isopropylmalate dehydrogenase, conserved site               "
"6433" "ostta14g02980" "Ion transport 2                "
"6434" "ostta14g02990" "unnamed product                 "
"6435" "ostta14g03000" " n/a  unnamed product              "
"6436" "ostta14g03010" "BTB/POZ-like                  "
"6437" "ostta14g03020" "PIH                  "
"6438" "ostta14g03030" "Nucleotide-diphospho-sugar transferase                 "
"6439" "ostta14g03040" "unnamed product                 "
"6440" "ostta14g03050" "Pyridoxal phosphate-dependent transferase, major region, subdomain 1            "
"6441" "ostta14g03060" "Protein of unknown function DUF597              "
"6442" "ostta14g03070" "unnamed product                 "
"6443" "ostta14g03080" "Tetratricopeptide-like helical                 "
"6444" "ostta15g00010" "G protein-coupled receptor GCR1 putative              "
"6445" "ostta15g00020" "SET domain                 "
"6446" "ostta15g00030" "D-tyrosyl-tRNATyr deacylase n/a  D-tyrosyl-tRNATyr deacylase             "
"6447" "ostta15g00035" "D-tyrosyl-tRNATyr deacylase n/a  D-tyrosyl-tRNATyr deacylase             "
"6448" "ostta15g00040" "Protein kinase-like domain                "
"6449" "ostta15g00045" "Ribosomal protein L37ae/L37e n/a  Ribosomal protein L37ae/L37e           "
"6450" "ostta15g00050" "Rubisco LS methyltransferase, substrate-binding domain n/a  Rubisco LS methyltransferase, substrate-binding domain       "
"6451" "ostta15g00060" "Aspartate carbamoyltransferase n/a  Aspartate carbamoyltransferase             "
"6452" "ostta15g00070" "C2 calcium-dependent membrane targeting               "
"6453" "ostta15g00080" "Translocation protein Sec63                "
"6454" "ostta15g00090" "Thiosulphate sulfurtransferase, conserved site               "
"6455" "ostta15g00100" "Copper type II, ascorbate-dependent monooxygenase, N-terminal   Copper type II, ascorbate-dependent monooxygenase, N-terminal   Copper type II,"
"6456" "ostta15g00110" "Mitogen-activated protein MAP kinase, conserved site             "
"6457" "ostta15g00120" "Biotin/lipoate A/B protein ligase               "
"6458" "ostta15g00130" "RmlC-like jelly roll fold               "
"6459" "ostta15g00140" "Phospholipid/glycerol acyltransferase                 "
"6460" "ostta15g00150" "Nucleoside diphosphate kinase                "
"6461" "ostta15g00160" "unnamed product                 "
"6462" "ostta15g00170" "Transcription factor TFIIB, conserved site              "
"6463" "ostta15g00180" "NAD-dependent epimerase/dehydratase                 "
"6464" "ostta15g00190" "Amino acid/polyamine transporter I n/a  Amino acid/polyamine transporter I         "
"6465" "ostta15g00195" " n/a  hypothetical protein              "
"6466" "ostta15g00200" "Wound-inducible basic n/a  Wound-inducible basic             "
"6467" "ostta15g00210" "Protein of unknown function DUF4598              "
"6468" "ostta15g00220" "Putative rRNA methylase                "
"6469" "ostta15g00230" "Sec1-like protein                 "
"6470" "ostta15g00240" "unnamed product                 "
"6471" "ostta15g00250" "Chaperone tailless complex polypeptide 1 TCP-1             "
"6472" "ostta15g00260" "unnamed product                 "
"6473" "ostta15g00270" "unnamed product                 "
"6474" "ostta15g00280" "Acyl-CoA N-acyltransferase                 "
"6475" "ostta15g00290" "Domain of unknown function DUF4050              "
"6476" "ostta15g00300" "K Homology domain, type 1 n/a  K Homology domain, type 1       "
"6477" "ostta15g00310" "Low-density lipoprotein LDL receptor class A repeat            "
"6478" "ostta15g00320" "Cytochrome c oxidase copper chaperone              "
"6479" "ostta15g00330" "Pheophorbide a oxygenase n/a  Pheophorbide a oxygenase           "
"6480" "ostta15g00340" "unnamed product                 "
"6481" "ostta15g00350" "Serine/threonine-specific protein phosphatase/bis5-nucleosyl-tetraphosphatase                "
"6482" "ostta15g00360" "unnamed product                 "
"6483" "ostta15g00370" "unnamed product                 "
"6484" "ostta15g00375" "DNA-binding domain n/a  DNA-binding domain n/a  DNA-binding domain         "
"6485" "ostta15g00380" "HAD-superfamily hydrolase,subfamily IIIA n/a  HAD-superfamily hydrolase,subfamily IIIA           "
"6486" "ostta15g00390" "Translation elongation/initiation factor/Ribosomal, beta-barrel n/a  Translation elongation/initiation factor/Ribosomal, beta-barrel         "
"6487" "ostta15g00400" "GDP dissociation inhibitor n/a  GDP dissociation inhibitor           "
"6488" "ostta15g00405" "Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain n/a  Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain       "
"6489" "ostta15g00410" "Acyl-CoA N-acyltransferase                 "
"6490" "ostta15g00420" "Proteasome B-type subunit                "
"6491" "ostta15g00430" "unnamed product                 "
"6492" "ostta15g00440" "Protein of unknown function DUF167              "
"6493" "ostta15g00450" "Ribonuclease II/R                 "
"6494" "ostta15g00460" "Thioredoxin, conserved site                "
"6495" "ostta15g00470" "Protein translocase complex, SecE/Sec61-gamma subunit              "
"6496" "ostta15g00480" "Target SNARE coiled-coil domain               "
"6497" "ostta15g00485" "NADH ubiquinone oxidoreductase, F subunit, iron sulphur binding n/a  NADH ubiquinone oxidoreductase, F subunit, iron sulphur binding "
"6498" "ostta15g00490" "NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site n/a  NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site     "
"6499" "ostta15g00500" " n/a  unnamed product              "
"6500" "ostta15g00510" "unnamed product                 "
"6501" "ostta15g00530" "Peptidase C13, legumain                "
"6502" "ostta15g00540" "unnamed product                 "
"6503" "ostta15g00560" "Domain of unknown function DUF547              "
"6504" "ostta15g00570" "Protein of unknown function DUF544 n/a  Protein of unknown function DUF544       "
"6505" "ostta15g00575" " n/a  hypothetical protein              "
"6506" "ostta15g00580" "unnamed product                 "
"6507" "ostta15g00590" "Zinc finger, RING-type, conserved site              "
"6508" "ostta15g00600" "unnamed product                 "
"6509" "ostta15g00610" "Major facilitator superfamily domain, general substrate transporter            "
"6510" "ostta15g00620" "Proline-tRNA ligase, class IIa               "
"6511" "ostta15g00630" "Nucleoporin Nup120/160                 "
"6512" "ostta15g00640" "ABC transporter, conserved site               "
"6513" "ostta15g00650" "Succinate dehydrogenase/fumarate reductase iron-sulphur protein              "
"6514" "ostta15g00660" "unnamed product                 "
"6515" "ostta15g00670" "Serine/threonine-protein kinase, active site               "
"6516" "ostta15g00680" "Cytochrome P450, conserved site               "
"6517" "ostta15g00690" "SANT/Myb domain n/a  SANT/Myb domain             "
"6518" "ostta15g00700" " n/a  unnamed product              "
"6519" "ostta15g00710" "unnamed product                 "
"6520" "ostta15g00720" "Thiolase-like, subgroup                 "
"6521" "ostta15g00730" "unnamed product                 "
"6522" "ostta15g00740" "WD40 repeat                 "
"6523" "ostta15g00750" "Peptidoglycan-binding Lysin subgroup                "
"6524" "ostta15g00760" "Diphthamide synthesis, eukaryotic DPH1/archaeal DPH2 n/a  Diphthamide synthesis, eukaryotic DPH1/archaeal DPH2       "
"6525" "ostta15g00765" "Diphthamide synthesis, DPH1/DPH2 n/a  Diphthamide synthesis, DPH1/DPH2           "
"6526" "ostta15g00770" "P-loop containing nucleoside triphosphate hydrolase              "
"6527" "ostta15g00780" "unnamed product                 "
"6528" "ostta15g00790" "Pre-mRNA-processing protein PRP40                "
"6529" "ostta15g00800" "Nucleotide-binding, alpha-beta plait                "
"6530" "ostta15g00810" "unnamed product                 "
"6531" "ostta15g00820" "Abscisic acid G-protein coupled receptor-like domain             "
"6532" "ostta15g00830" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2            "
"6533" "ostta15g00840" "DNA-directed RNA polymerase delta subunit/Asxl              "
"6534" "ostta15g00850" "unnamed product                 "
"6535" "ostta15g00860" " n/a  unnamed product              "
"6536" "ostta15g00870" "SET domain                 "
"6537" "ostta15g00880" "Metal-dependent hydrolase, composite domain               "
"6538" "ostta15g00890" "Protein-tyrosine/Dual specificity phosphatase                "
"6539" "ostta15g00900" "NADP-binding domain n/a  NADP-binding domain             "
"6540" "ostta15g00910" "unnamed product                 "
"6541" "ostta15g00920" "JmjC domain                 "
"6542" "ostta15g00930" "Ribosomal protein S5, N-terminal               "
"6543" "ostta15g00940" "Rossmann-like alpha/beta/alpha sandwich fold               "
"6544" "ostta15g00950" "G-protein beta WD-40 repeat n/a  G-protein beta WD-40 repeat n/a  G-protein beta WD-40 repeat n/a  G-protein"
"6545" "ostta15g00955" "S-adenosylmethionine synthetase, C-terminal n/a  S-adenosylmethionine synthetase, C-terminal           "
"6546" "ostta15g00960" "unnamed product                 "
"6547" "ostta15g00970" "Peptidase S24/S26A/S26B/S26C, beta-ribbon domain               "
"6548" "ostta15g00980" "Armadillo-type fold                 "
"6549" "ostta15g00990" "Photosystem I PsaH, reaction centre subunit VI            "
"6550" "ostta15g01000" "Cryptochrome/DNA photolyase, class 1               "
"6551" "ostta15g01010" "Ribose-phosphate diphosphokinase                 "
"6552" "ostta15g01020" "Oligosaccharide biosynthesis protein Alg14-like               "
"6553" "ostta15g01030" "Zinc/iron permease                 "
"6554" "ostta15g01040" "unnamed product                 "
"6555" "ostta15g01050" "Major facilitator superfamily domain, general substrate transporter            "
"6556" "ostta15g01060" "Basic-leucine zipper domain                "
"6557" "ostta15g01070" "unnamed product                 "
"6558" "ostta15g01075" " n/a  hypothetical protein              "
"6559" "ostta15g01080" "NUDIX hydrolase, conserved site n/a  NUDIX hydrolase, conserved site         "
"6560" "ostta15g01090" "Replication factor-A protein 1 N-terminal              "
"6561" "ostta15g01100" "CRAL-TRIO domain                 "
"6562" "ostta15g01105" "Chaperonin-like RbcX n/a  Chaperonin-like RbcX             "
"6563" "ostta15g01110" "Glycosyl transferase, family 1 n/a  Glycosyl transferase, family 1         "
"6564" "ostta15g01120" "unnamed product                 "
"6565" "ostta15g01130" "Autophagy-related protein 1010                "
"6566" "ostta15g01140" "Cytochrome b5-like heme/steroid binding domain              "
"6567" "ostta15g01150" "unnamed product                 "
"6568" "ostta15g01160" "Ribosomal protein L18/L5                "
"6569" "ostta15g01170" "Ribosomal protein L9, C-terminal n/a  Ribosomal protein L9, C-terminal         "
"6570" "ostta15g01180" "Ribosomal protein L15, conserved site n/a  Ribosomal protein L15, conserved site       "
"6571" "ostta15g01190" " n/a  unnamed product              "
"6572" "ostta15g01200" "Serine/threonine-protein kinase, active site               "
"6573" "ostta15g01210" "Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site n/a  Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site         "
"6574" "ostta15g01220" "Helicase, C-terminal                 "
"6575" "ostta15g01230" "Mog1/PsbP, alpha/beta/alpha sandwich                "
"6576" "ostta15g01240" "Endonuclease/exonuclease/phosphatase                  "
"6577" "ostta15g01250" "Natural resistance-associated macrophage like               "
"6578" "ostta15g01260" "DIRP                  "
"6579" "ostta15g01265" "Regulator of nonsense-mediated decay, UPF3 n/a  Regulator of nonsense-mediated decay, UPF3       "
"6580" "ostta15g01270" "von Willebrand factor, type A n/a  von Willebrand factor, type A       "
"6581" "ostta15g01280" "unnamed product                 "
"6582" "ostta15g01290" "Protein of unknown function DUF3228              "
"6583" "ostta15g01300" "G-protein beta WD-40 repeat               "
"6584" "ostta15g01310" "unnamed product                 "
"6585" "ostta15g01320" "Domain of unknown function DUF4341 n/a  Domain of unknown function DUF4341       "
"6586" "ostta15g01325" " n/a  hypothetical protein n/a  hypothetical protein          "
"6587" "ostta15g01330" "Major facilitator superfamily domain, general substrate transporter            "
"6588" "ostta15g01340" "S-formylglutathione hydrolase                 "
"6589" "ostta15g01350" "Alcohol dehydrogenase superfamily, zinc-type               "
"6590" "ostta15g01360" "TFIIH subunit TTDA/Tfb5                "
"6591" "ostta15g01370" "Pseudouridine synthase, RluC/RluD, conserved site              "
"6592" "ostta15g01380" "Protein kinase-like domain                "
"6593" "ostta15g01390" "unnamed product                 "
"6594" "ostta15g01400" "EXS, C-terminal                 "
"6595" "ostta15g01410" "Small GTPase superfamily, ARF/SAR type              "
"6596" "ostta15g01420" "Serine/threonine-protein kinase, active site n/a  Serine/threonine-protein kinase, active site         "
"6597" "ostta15g01430" "SANT/Myb domain                 "
"6598" "ostta15g01440" "Basic-leucine zipper domain n/a  Basic-leucine zipper domain           "
"6599" "ostta15g01450" "Sterile alpha motif/pointed domain n/a  Sterile alpha motif/pointed domain         "
"6600" "ostta15g01460" "RNA-induced silencing complex, nuclease component Tudor-SN n/a  RNA-induced silencing complex, nuclease component Tudor-SN     "
"6601" "ostta15g01470" "Thiolase-like, subgroup                 "
"6602" "ostta15g01480" "Cation-transporting P-type ATPase, subfamily IB              "
"6603" "ostta15g01490" "unnamed product                 "
"6604" "ostta15g01495" "Ribosomal protein L27/L41, mitochondrial n/a  Ribosomal protein L27/L41, mitochondrial         "
"6605" "ostta15g01500" "Ribosomal protein L27/L41, mitochondrial n/a  Ribosomal protein L27/L41, mitochondrial         "
"6606" "ostta15g01510" "unnamed product                 "
"6607" "ostta15g01520" "Vacuolar protein sorting-associated protein 13A N-terminal domain            "
"6608" "ostta15g01530" "unnamed product                 "
"6609" "ostta15g01540" "unnamed product                 "
"6610" "ostta15g01550" "Actin-binding, cofilin/tropomyosin type                "
"6611" "ostta15g01560" "Uncharacterised domain NUC173                "
"6612" "ostta15g01570" "unnamed product                 "
"6613" "ostta15g01580" "unnamed product                 "
"6614" "ostta15g01590" "PDZ domain                 "
"6615" "ostta15g01610" "Ribosomal biogenesis regulatory protein               "
"6616" "ostta15g01620" "Acyl-CoA N-acyltransferase                 "
"6617" "ostta15g01630" "Nucleotidyltransferase, class I, C-terminal-like               "
"6618" "ostta15g01640" "unnamed product                 "
"6619" "ostta15g01650" "Ribosome-binding factor A                "
"6620" "ostta15g01660" "Mitochondrial substrate/solute carrier                "
"6621" "ostta15g01670" "unnamed product                 "
"6622" "ostta15g01680" "Urease accessory protein UreD               "
"6623" "ostta15g01690" "[NiFe]-hydrogenase/urease maturation factor, Ni2-binding GTPase              "
"6624" "ostta15g01700" "Urease alpha-subunit, N-terminal n/a  Urease alpha-subunit, N-terminal           "
"6625" "ostta15g01710" "Sodium/solute symporter n/a  Sodium/solute symporter             "
"6626" "ostta15g01720" "Urease accessory protein UreF               "
"6627" "ostta15g01730" "ABC transporter, conserved site               "
"6628" "ostta15g01735" " n/a  hypothetical protein              "
"6629" "ostta15g01740" "HECT n/a  HECT               "
"6630" "ostta15g01750" "MIF4-like, type 01/02/03                "
"6631" "ostta15g01760" "Ribosomal protein S24/S35, mitochondrial, conserved domain n/a  Ribosomal protein S24/S35, mitochondrial, conserved domain     "
"6632" "ostta15g01770" "Triose-phosphate transporter domain                "
"6633" "ostta15g01780" "Protein of unknown function DUF4336              "
"6634" "ostta15g01790" "P-loop containing nucleoside triphosphate hydrolase              "
"6635" "ostta15g01800" "Thiolase-like, subgroup                 "
"6636" "ostta15g01810" "P-loop containing nucleoside triphosphate hydrolase              "
"6637" "ostta15g01820" "Peptidase M18                 "
"6638" "ostta15g01830" "Eukaryotic translation initiation factor 3 subunit B            "
"6639" "ostta15g01840" "Pre-rRNA-processing protein TSR2                "
"6640" "ostta15g01850" "NADP-binding domain                 "
"6641" "ostta15g01860" "Vacuolar protein sorting-associate protein Vta1/Callose synthase, N-terminal domain           "
"6642" "ostta15g01870" "Zinc finger, PHD-finger                "
"6643" "ostta15g01880" "WD40/YVTN repeat-like-containing domain                "
"6644" "ostta15g01890" "Thiolase-like, subgroup                 "
"6645" "ostta15g01900" "Tetratricopeptide repeat                 "
"6646" "ostta15g01910" "unnamed product                 "
"6647" "ostta15g01920" "Oxysterol-binding protein                 "
"6648" "ostta15g01930" "Monothiol glutaredoxin-related                 "
"6649" "ostta15g01940" "unnamed product                 "
"6650" "ostta15g01950" "Armadillo-type fold                 "
"6651" "ostta15g01960" "Membrane protein,Tapt1/CMV receptor                "
"6652" "ostta15g01970" "Phox homologous domain                "
"6653" "ostta15g01980" "Galactosyl transferase                 "
"6654" "ostta15g01990" "Mediator complex, subunit Med21               "
"6655" "ostta15g02000" "Thioredoxin-like fold                 "
"6656" "ostta15g02010" "Ribosomal S24e conserved site               "
"6657" "ostta15g02020" "Translocon Sec61/SecY, plug domain               "
"6658" "ostta15g02030" "Sec20                  "
"6659" "ostta15g02040" "unnamed product                 "
"6660" "ostta15g02050" "unnamed product                 "
"6661" "ostta15g02060" "WD40 repeat                 "
"6662" "ostta15g02070" "Inositol monophosphatase, metal-binding site n/a  Inositol monophosphatase, metal-binding site         "
"6663" "ostta15g02080" "unnamed product                 "
"6664" "ostta15g02090" "Methyltransferase type 11                "
"6665" "ostta15g02100" "Domain of unknown function DUF4399              "
"6666" "ostta15g02110" "Protein of unknown function DUF3429              "
"6667" "ostta15g02120" "DnaJ domain n/a  DnaJ domain             "
"6668" "ostta15g02130" "Domain of unknown function DUF625 n/a  Domain of unknown function DUF625       "
"6669" "ostta15g02140" "unnamed product                 "
"6670" "ostta15g02150" "Winged helix-turn-helix DNA-binding domain               "
"6671" "ostta15g02160" "Domain of unknown function DUF4033              "
"6672" "ostta15g02170" "SANT/Myb domain                 "
"6673" "ostta15g02180" "Ankyrin repeat                 "
"6674" "ostta15g02190" "unnamed product                 "
"6675" "ostta15g02200" "Ribosomal protein L6, conserved site n/a  Ribosomal protein L6, conserved site       "
"6676" "ostta15g02207" "CBS domain n/a  CBS domain             "
"6677" "ostta15g02210" "Protein of unknown function DUF408 n/a  Protein of unknown function DUF408       "
"6678" "ostta15g02220" "EB1, C-terminal                 "
"6679" "ostta15g02230" "Prolyl 4-hydroxylase, alpha subunit n/a  Prolyl 4-hydroxylase, alpha subunit         "
"6680" "ostta15g02235" "Oxoglutarate/iron-dependent dioxygenase n/a  Oxoglutarate/iron-dependent dioxygenase             "
"6681" "ostta15g02240" "unnamed product                 "
"6682" "ostta15g02250" "Monooxygenase, FAD-binding                 "
"6683" "ostta15g02260" "unnamed product                 "
"6684" "ostta15g02270" "unnamed product                 "
"6685" "ostta15g02280" "FF domain                 "
"6686" "ostta15g02290" "Ribosomal protein L10/L12 n/a  Ribosomal protein L10/L12           "
"6687" "ostta15g02300" "Vacuolar sorting protein 9               "
"6688" "ostta15g02310" "Integral membrane protein TerC, riboswitch-linked              "
"6689" "ostta15g02320" "RNA methyltransferase TrmH family               "
"6690" "ostta15g02325" "K Homology domain, type 1 n/a  K Homology domain, type 1       "
"6691" "ostta15g02330" "Transcription initiation factor Rrn7 n/a  Transcription initiation factor Rrn7 n/a  Transcription initiation factor Rrn7 n/a  Transcription"
"6692" "ostta15g02340" "unnamed product                 "
"6693" "ostta15g02350" "P-loop containing nucleoside triphosphate hydrolase              "
"6694" "ostta15g02360" "Ribosomal protein S17                "
"6695" "ostta15g02370" "Armadillo-type fold                 "
"6696" "ostta15g02380" "Methyltransferase type 11 n/a  Methyltransferase type 11           "
"6697" "ostta15g02385" "Methyltransferase type 11 n/a  Methyltransferase type 11 n/a  Methyltransferase type 11      "
