Gene ID	GO	KO	PFAM
ME000090S10181	ME000090S10181	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00270" target="_blank">PF00270</a> <a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a>
ME000090S10185	ME000090S10185	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a> <a href="http://pfam.xfam.org/family/PF00072" target="_blank">PF00072</a> <a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a> <a href="http://pfam.xfam.org/family/PF08447" target="_blank">PF08447</a>
ME000090S10190	ME000090S10190	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF04548" target="_blank">PF04548</a> <a href="http://pfam.xfam.org/family/PF01926" target="_blank">PF01926</a> <a href="http://pfam.xfam.org/family/PF03193" target="_blank">PF03193</a>
ME000090S10193	ME000090S10193	<a href="http://amigo.geneontology.org/amigo/term/GO:0036459" target="_blank">thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016579" target="_blank">protein deubiquitination (GO:0016579)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11844" target="_blank">K11844</a>	<a href="http://pfam.xfam.org/family/PF00443" target="_blank">PF00443</a> <a href="http://pfam.xfam.org/family/PF02148" target="_blank">PF02148</a>
ME000090S10195	ME000090S10195	<a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a> <a href="http://pfam.xfam.org/family/PF08447" target="_blank">PF08447</a> <a href="http://pfam.xfam.org/family/PF00072" target="_blank">PF00072</a>
ME000090S10196	ME000090S10196	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00072" target="_blank">PF00072</a>
ME000090S10197	ME000090S10197	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a> <a href="http://pfam.xfam.org/family/PF08447" target="_blank">PF08447</a> <a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a> <a href="http://pfam.xfam.org/family/PF13185" target="_blank">PF13185</a> <a href="http://pfam.xfam.org/family/PF13426" target="_blank">PF13426</a> <a href="http://pfam.xfam.org/family/PF01590" target="_blank">PF01590</a>
ME000090S10198	ME000090S10198	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13185" target="_blank">PF13185</a> <a href="http://pfam.xfam.org/family/PF01590" target="_blank">PF01590</a>
ME000214S03265	ME000214S03265	<a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF07890" target="_blank">PF07890</a>
ME000214S03266	ME000214S03266	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01018" target="_blank">PF01018</a> <a href="http://pfam.xfam.org/family/PF01926" target="_blank">PF01926</a> <a href="http://pfam.xfam.org/family/PF02421" target="_blank">PF02421</a>
ME000214S03269	ME000214S03269	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14327" target="_blank">K14327</a>	<a href="http://pfam.xfam.org/family/PF02854" target="_blank">PF02854</a> <a href="http://pfam.xfam.org/family/PF04050" target="_blank">PF04050</a>
ME000214S03270	ME000214S03270	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02974" target="_blank">K02974</a>	<a href="http://pfam.xfam.org/family/PF01282" target="_blank">PF01282</a>
ME000214S03271	ME000214S03271	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20724" target="_blank">K20724</a>	<a href="http://pfam.xfam.org/family/PF03661" target="_blank">PF03661</a>
ME000214S03272	ME000214S03272	<a href="http://amigo.geneontology.org/amigo/term/GO:0030150" target="_blank">protein import into mitochondrial matrix (GO:0030150)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005744" target="_blank">TIM23 mitochondrial import inner membrane translocase complex (GO:0005744)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF08294" target="_blank">PF08294</a>
ME000214S03273	ME000214S03273	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016818" target="_blank">hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15505" target="_blank">K15505</a>	<a href="http://pfam.xfam.org/family/PF00176" target="_blank">PF00176</a> <a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a> <a href="http://pfam.xfam.org/family/PF08797" target="_blank">PF08797</a> <a href="http://pfam.xfam.org/family/PF13923" target="_blank">PF13923</a> <a href="http://pfam.xfam.org/family/PF13639" target="_blank">PF13639</a> <a href="http://pfam.xfam.org/family/PF13920" target="_blank">PF13920</a> <a href="http://pfam.xfam.org/family/PF00097" target="_blank">PF00097</a> <a href="http://pfam.xfam.org/family/PF04851" target="_blank">PF04851</a> <a href="http://pfam.xfam.org/family/PF13445" target="_blank">PF13445</a>
ME000214S03274	ME000214S03274	<a href="http://amigo.geneontology.org/amigo/term/GO:0016757" target="_blank">transferase activity, transferring glycosyl groups (GO:0016757)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF09258" target="_blank">PF09258</a> <a href="http://pfam.xfam.org/family/PF04577" target="_blank">PF04577</a>
ME000214S03275	ME000214S03275	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006270" target="_blank">DNA replication initiation (GO:0006270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02210" target="_blank">K02210</a>	<a href="http://pfam.xfam.org/family/PF00493" target="_blank">PF00493</a> <a href="http://pfam.xfam.org/family/PF17207" target="_blank">PF17207</a> <a href="http://pfam.xfam.org/family/PF17855" target="_blank">PF17855</a> <a href="http://pfam.xfam.org/family/PF14551" target="_blank">PF14551</a>
ME000214S03279	ME000214S03279	<a href="http://amigo.geneontology.org/amigo/term/GO:0016161" target="_blank">beta-amylase activity (GO:0016161)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000272" target="_blank">polysaccharide catabolic process (GO:0000272)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01177" target="_blank">K01177</a>	<a href="http://pfam.xfam.org/family/PF01373" target="_blank">PF01373</a>
ME000273S04692	ME000273S04692	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030117" target="_blank">membrane coat (GO:0030117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030131" target="_blank">clathrin adaptor complex (GO:0030131)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12392" target="_blank">K12392</a>	<a href="http://pfam.xfam.org/family/PF01602" target="_blank">PF01602</a> <a href="http://pfam.xfam.org/family/PF12717" target="_blank">PF12717</a> <a href="http://pfam.xfam.org/family/PF09066" target="_blank">PF09066</a> <a href="http://pfam.xfam.org/family/PF02883" target="_blank">PF02883</a>
ME000273S04696	ME000273S04696	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01585" target="_blank">PF01585</a> <a href="http://pfam.xfam.org/family/PF00642" target="_blank">PF00642</a>
ME000273S04699	ME000273S04699	<a href="http://amigo.geneontology.org/amigo/term/GO:0030234" target="_blank">enzyme regulator activity (GO:0030234)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006808" target="_blank">regulation of nitrogen utilization (GO:0006808)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00543" target="_blank">PF00543</a>
ME000273S04701	ME000273S04701	<a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015035" target="_blank">protein disulfide oxidoreductase activity (GO:0015035)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">cell redox homeostasis (GO:0045454)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03676" target="_blank">K03676</a>	<a href="http://pfam.xfam.org/family/PF00462" target="_blank">PF00462</a>
ME000273S04706	ME000273S04706	<a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01762" target="_blank">K01762</a>	<a href="http://pfam.xfam.org/family/PF00155" target="_blank">PF00155</a>
ME000187S02389	ME000187S02389	<a href="http://amigo.geneontology.org/amigo/term/GO:0006904" target="_blank">vesicle docking involved in exocytosis (GO:0006904)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15292" target="_blank">K15292</a>	<a href="http://pfam.xfam.org/family/PF00995" target="_blank">PF00995</a>
ME000187S02390	ME000187S02390	<a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00814" target="_blank">K00814</a>	<a href="http://pfam.xfam.org/family/PF00155" target="_blank">PF00155</a>
ME000187S02393	ME000187S02393	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13201" target="_blank">K13201</a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
ME000187S02394	ME000187S02394	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13516" target="_blank">PF13516</a>
ME000187S02395	ME000187S02395	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21444" target="_blank">K21444</a>	<a href="http://pfam.xfam.org/family/PF00013" target="_blank">PF00013</a>
ME000187S02397	ME000187S02397	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00150" target="_blank">PF00150</a>
ME000187S02398	ME000187S02398	<a href="http://amigo.geneontology.org/amigo/term/GO:0006887" target="_blank">exocytosis (GO:0006887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000145" target="_blank">exocyst (GO:0000145)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20298" target="_blank">K20298</a>	<a href="http://pfam.xfam.org/family/PF04129" target="_blank">PF04129</a> <a href="http://pfam.xfam.org/family/PF09763" target="_blank">PF09763</a>
ME000187S02399	ME000187S02399	<a href="http://amigo.geneontology.org/amigo/term/GO:0004197" target="_blank">cysteine-type endopeptidase activity (GO:0004197)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0071586" target="_blank">CAAX-box protein processing (GO:0071586)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02517" target="_blank">PF02517</a>
ME000187S02401	ME000187S02401	<a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a> <a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a> <a href="http://pfam.xfam.org/family/PF00072" target="_blank">PF00072</a> <a href="http://pfam.xfam.org/family/PF13426" target="_blank">PF13426</a> <a href="http://pfam.xfam.org/family/PF13188" target="_blank">PF13188</a>
ME000187S02402	ME000187S02402	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01734" target="_blank">PF01734</a> <a href="http://pfam.xfam.org/family/PF00514" target="_blank">PF00514</a>
ME000187S02403	ME000187S02403	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042765" target="_blank">GPI-anchor transamidase complex (GO:0042765)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05289" target="_blank">K05289</a>	<a href="http://pfam.xfam.org/family/PF04114" target="_blank">PF04114</a>
ME000187S02412	ME000187S02412	<a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00254" target="_blank">PF00254</a>
ME000187S02413	ME000187S02413	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14012" target="_blank">K14012</a>	<a href="http://pfam.xfam.org/family/PF08059" target="_blank">PF08059</a> <a href="http://pfam.xfam.org/family/PF00789" target="_blank">PF00789</a> <a href="http://pfam.xfam.org/family/PF14555" target="_blank">PF14555</a>
ME000187S02415	ME000187S02415	<a href="http://amigo.geneontology.org/amigo/term/GO:0018580" target="_blank">nitronate monooxygenase activity (GO:0018580)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03060" target="_blank">PF03060</a> <a href="http://pfam.xfam.org/family/PF01070" target="_blank">PF01070</a> <a href="http://pfam.xfam.org/family/PF00478" target="_blank">PF00478</a>
ME1135765C07647	ME1135765C07647	<a href="http://amigo.geneontology.org/amigo/term/GO:0032324" target="_blank">molybdopterin cofactor biosynthetic process (GO:0032324)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03453" target="_blank">PF03453</a>
ME000400S06849	ME000400S06849	<a href="http://amigo.geneontology.org/amigo/term/GO:0012511" target="_blank">monolayer-surrounded lipid storage body (GO:0012511)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01277" target="_blank">PF01277</a>
ME000400S06854	ME000400S06854	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K23164" target="_blank">K23164</a>	<a href="http://pfam.xfam.org/family/PF13602" target="_blank">PF13602</a> <a href="http://pfam.xfam.org/family/PF00107" target="_blank">PF00107</a> <a href="http://pfam.xfam.org/family/PF08240" target="_blank">PF08240</a>
ME000400S06858	ME000400S06858	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K23398" target="_blank">K23398</a>	<a href="http://pfam.xfam.org/family/PF13532" target="_blank">PF13532</a> <a href="http://pfam.xfam.org/family/PF06221" target="_blank">PF06221</a>
ME000400S06859	ME000400S06859	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02183" target="_blank">K02183</a>	<a href="http://pfam.xfam.org/family/PF00036" target="_blank">PF00036</a> <a href="http://pfam.xfam.org/family/PF13499" target="_blank">PF13499</a> <a href="http://pfam.xfam.org/family/PF13833" target="_blank">PF13833</a> <a href="http://pfam.xfam.org/family/PF13405" target="_blank">PF13405</a> <a href="http://pfam.xfam.org/family/PF13202" target="_blank">PF13202</a> <a href="http://pfam.xfam.org/family/PF12763" target="_blank">PF12763</a> <a href="http://pfam.xfam.org/family/PF08976" target="_blank">PF08976</a>
ME000400S06860	ME000400S06860	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02885" target="_blank">K02885</a>	<a href="http://pfam.xfam.org/family/PF01280" target="_blank">PF01280</a>
ME000400S06861	ME000400S06861	<a href="http://amigo.geneontology.org/amigo/term/GO:0005507" target="_blank">copper ion binding (GO:0005507)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055070" target="_blank">copper ion homeostasis (GO:0055070)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06201" target="_blank">K06201</a>	<a href="http://pfam.xfam.org/family/PF03932" target="_blank">PF03932</a>
ME000613S08754	ME000613S08754	<a href="http://amigo.geneontology.org/amigo/term/GO:0031966" target="_blank">mitochondrial membrane (GO:0031966)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18182" target="_blank">K18182</a>	<a href="http://pfam.xfam.org/family/PF14138" target="_blank">PF14138</a>
ME000613S08755	ME000613S08755	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14963" target="_blank">K14963</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a> <a href="http://pfam.xfam.org/family/PF12894" target="_blank">PF12894</a> <a href="http://pfam.xfam.org/family/PF08662" target="_blank">PF08662</a>
ME000613S08756	ME000613S08756	<a href="http://amigo.geneontology.org/amigo/term/GO:0007034" target="_blank">vacuolar transport (GO:0007034)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12195" target="_blank">K12195</a>	<a href="http://pfam.xfam.org/family/PF03357" target="_blank">PF03357</a>
ME000613S08757	ME000613S08757	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K23312" target="_blank">K23312</a>	<a href="http://pfam.xfam.org/family/PF10451" target="_blank">PF10451</a> <a href="http://pfam.xfam.org/family/PF01336" target="_blank">PF01336</a>
ME000613S08760	ME000613S08760	<a href="http://amigo.geneontology.org/amigo/term/GO:0044238" target="_blank">primary metabolic process (GO:0044238)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02482" target="_blank">PF02482</a> <a href="http://pfam.xfam.org/family/PF16321" target="_blank">PF16321</a>
ME000613S08762	ME000613S08762	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00005" target="_blank">PF00005</a> <a href="http://pfam.xfam.org/family/PF12848" target="_blank">PF12848</a>
ME000152S01210	ME000152S01210	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10756" target="_blank">K10756</a>	<a href="http://pfam.xfam.org/family/PF08542" target="_blank">PF08542</a> <a href="http://pfam.xfam.org/family/PF00004" target="_blank">PF00004</a> <a href="http://pfam.xfam.org/family/PF13177" target="_blank">PF13177</a> <a href="http://pfam.xfam.org/family/PF03215" target="_blank">PF03215</a> <a href="http://pfam.xfam.org/family/PF07728" target="_blank">PF07728</a>
ME000152S01211	ME000152S01211	<a href="http://amigo.geneontology.org/amigo/term/GO:0016743" target="_blank">carboxyl- or carbamoyltransferase activity (GO:0016743)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006520" target="_blank">cellular amino acid metabolic process (GO:0006520)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016597" target="_blank">amino acid binding (GO:0016597)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00609" target="_blank">K00609</a>	<a href="http://pfam.xfam.org/family/PF02729" target="_blank">PF02729</a> <a href="http://pfam.xfam.org/family/PF00185" target="_blank">PF00185</a>
ME000152S01213	ME000152S01213	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14787" target="_blank">K14787</a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
ME000152S01215	ME000152S01215	<a href="http://amigo.geneontology.org/amigo/term/GO:0008199" target="_blank">ferric iron binding (GO:0008199)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016226" target="_blank">iron-sulfur cluster assembly (GO:0016226)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19054" target="_blank">K19054</a>	<a href="http://pfam.xfam.org/family/PF01491" target="_blank">PF01491</a>
ME000152S01216	ME000152S01216	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a>
