Gene ID	GO	KO
kfl00849_0010p	kfl00849_0010p	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	
kfl00849_0040	kfl00849_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22077" target="_blank">K22077</a>
kfl00852_0020	kfl00852_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02926" target="_blank">K02926</a>
kfl00852_0030	kfl00852_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
kfl00852_0040	kfl00852_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">DNA replication (GO:0006260)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003887" target="_blank">DNA-directed DNA polymerase activity (GO:0003887)</a>	
kfl00852_0050	kfl00852_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0016757" target="_blank">transferase activity, transferring glycosyl groups (GO:0016757)</a>	
kfl00853_0020	kfl00853_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00853_0030	kfl00853_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0006306" target="_blank">DNA methylation (GO:0006306)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
kfl00853_0040	kfl00853_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00854_0030	kfl00854_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003913" target="_blank">DNA photolyase activity (GO:0003913)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02295" target="_blank">K02295</a>
kfl00854_0050	kfl00854_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02206" target="_blank">K02206</a>
kfl00854_0060	kfl00854_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00855_0010	kfl00855_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00856_0030	kfl00856_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004185" target="_blank">serine-type carboxypeptidase activity (GO:0004185)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16296" target="_blank">K16296</a>
kfl00857_0040	kfl00857_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0009664" target="_blank">plant-type cell wall organization (GO:0009664)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005576" target="_blank">extracellular region (GO:0005576)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030246" target="_blank">carbohydrate binding (GO:0030246)</a>	
kfl00857_0050	kfl00857_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00858_0010	kfl00858_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008026" target="_blank">(GO:0008026)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003725" target="_blank">double-stranded RNA binding (GO:0003725)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00858_0030	kfl00858_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	
kfl00859_0010	kfl00859_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">cell redox homeostasis (GO:0045454)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006662" target="_blank">glycerol ether metabolic process (GO:0006662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015035" target="_blank">protein disulfide oxidoreductase activity (GO:0015035)</a>	
kfl00859_0040	kfl00859_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00859_0050	kfl00859_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02952" target="_blank">K02952</a>
kfl00860_0010p	kfl00860_0010p	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00861_0010	kfl00861_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0006811" target="_blank">ion transport (GO:0006811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015671" target="_blank">oxygen transport (GO:0015671)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005216" target="_blank">ion channel activity (GO:0005216)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019825" target="_blank">oxygen binding (GO:0019825)</a>	
kfl00861_0020	kfl00861_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00862_0010	kfl00862_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016874" target="_blank">ligase activity (GO:0016874)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01648" target="_blank">K01648</a>
kfl00862_0030	kfl00862_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0006457" target="_blank">protein folding (GO:0006457)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0031072" target="_blank">heat shock protein binding (GO:0031072)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051082" target="_blank">unfolded protein binding (GO:0051082)</a>	
kfl00862_0040	kfl00862_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a>	
kfl00863_0010	kfl00863_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00864_0020	kfl00864_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00864_0030	kfl00864_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02922" target="_blank">K02922</a>
kfl00864_0040	kfl00864_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02957" target="_blank">K02957</a>
kfl00865_0030	kfl00865_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	
kfl00865_0050	kfl00865_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02866" target="_blank">K02866</a>
kfl00865_0060	kfl00865_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00866_0040	kfl00866_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04536" target="_blank">K04536</a>
kfl00867_0010	kfl00867_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">phosphorelay response regulator activity (GO:0000156)</a>	
kfl00867_0020	kfl00867_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a>	
kfl00867_0030p	kfl00867_0030p	<a href="http://amigo.geneontology.org/amigo/term/GO:0018106" target="_blank">peptidyl-histidine phosphorylation (GO:0018106)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">phosphorylation (GO:0016310)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004673" target="_blank">protein histidine kinase activity (GO:0004673)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a>	
kfl00868_0020	kfl00868_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11348" target="_blank">K11348</a>
kfl00868_0030	kfl00868_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0044237" target="_blank">cellular metabolic process (GO:0044237)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009086" target="_blank">methionine biosynthetic process (GO:0009086)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0042558" target="_blank">pteridine-containing compound metabolic process (GO:0042558)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0031419" target="_blank">cobalamin binding (GO:0031419)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008898" target="_blank">S-adenosylmethionine-homocysteine S-methyltransferase activity (GO:0008898)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008705" target="_blank">methionine synthase activity (GO:0008705)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00548" target="_blank">K00548</a>
kfl00869_0010	kfl00869_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0016998" target="_blank">cell wall macromolecule catabolic process (GO:0016998)</a>	
kfl00869_0020	kfl00869_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14838" target="_blank">K14838</a>
kfl00869_0040	kfl00869_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00869_0050	kfl00869_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00870_0010p	kfl00870_0010p	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009250" target="_blank">glucan biosynthetic process (GO:0009250)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009011" target="_blank">starch synthase activity (GO:0009011)</a>	
kfl00870_0020	kfl00870_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0006096" target="_blank">glycolytic process (GO:0006096)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043231" target="_blank">intracellular membrane-bounded organelle (GO:0043231)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016624" target="_blank">oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004739" target="_blank">pyruvate dehydrogenase (acetyl-transferring) activity (GO:0004739)</a>	
kfl00870_0030	kfl00870_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02914" target="_blank">K02914</a>
kfl00870_0040	kfl00870_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	
kfl00870_0060	kfl00870_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02959" target="_blank">K02959</a>
kfl00871_0030	kfl00871_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0016311" target="_blank">dephosphorylation (GO:0016311)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006470" target="_blank">protein dephosphorylation (GO:0006470)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016791" target="_blank">phosphatase activity (GO:0016791)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004725" target="_blank">protein tyrosine phosphatase activity (GO:0004725)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008138" target="_blank">protein tyrosine/serine/threonine phosphatase activity (GO:0008138)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01110" target="_blank">K01110</a>
kfl00871_0040	kfl00871_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0006364" target="_blank">rRNA processing (GO:0006364)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0032040" target="_blank">small-subunit processome (GO:0032040)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14555" target="_blank">K14555</a>
kfl00872_0020	kfl00872_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0006306" target="_blank">DNA methylation (GO:0006306)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
kfl00872_0040	kfl00872_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00873_0020	kfl00873_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">RNA processing (GO:0006396)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12587" target="_blank">K12587</a>
kfl00873_0030	kfl00873_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0009435" target="_blank">NAD biosynthetic process (GO:0009435)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008987" target="_blank">quinolinate synthetase A activity (GO:0008987)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03517" target="_blank">K03517</a>
kfl00873_0040	kfl00873_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015934" target="_blank">large ribosomal subunit (GO:0015934)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016740" target="_blank">transferase activity (GO:0016740)</a>	
kfl00874_0010	kfl00874_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0008374" target="_blank">O-acyltransferase activity (GO:0008374)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005543" target="_blank">phospholipid binding (GO:0005543)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11155" target="_blank">K11155</a>
kfl00874_0020	kfl00874_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0015995" target="_blank">chlorophyll biosynthetic process (GO:0015995)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046406" target="_blank">magnesium protoporphyrin IX methyltransferase activity (GO:0046406)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03428" target="_blank">K03428</a>
kfl00875_0010	kfl00875_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0018106" target="_blank">peptidyl-histidine phosphorylation (GO:0018106)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">phosphorylation (GO:0016310)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004673" target="_blank">protein histidine kinase activity (GO:0004673)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000156" target="_blank">phosphorelay response regulator activity (GO:0000156)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a>	
kfl00876_0010	kfl00876_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016705" target="_blank">oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)</a>	
kfl00876_0020	kfl00876_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00876_0030	kfl00876_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0007205" target="_blank">protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0035556" target="_blank">intracellular signal transduction (GO:0035556)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004143" target="_blank">diacylglycerol kinase activity (GO:0004143)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00901" target="_blank">K00901</a>
kfl00876_0040	kfl00876_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0009052" target="_blank">pentose-phosphate shunt, non-oxidative branch (GO:0009052)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004751" target="_blank">ribose-5-phosphate isomerase activity (GO:0004751)</a>	
kfl00877_0020	kfl00877_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004176" target="_blank">ATP-dependent peptidase activity (GO:0004176)</a>	
